Algorithm,Function,Mean,Std,Convergence
DE,F1,3900.295,3085.281,1:293510264781.585;100:95420780110.119;200:42314533758.466;300:24263840438.661;400:15271608298.409;500:9842250214.196;600:6546319821.275;700:4209910513.004;800:2764839615.158;900:1892888686.839;1000:1243516245.912;1100:823405836.41;1200:566353022.662;1300:370308012.135;1400:250383301.767;1500:164266444.919;1600:109530890.092;1700:73866193.532;1800:48940534.058;1900:32762434.609;2000:22073144.935;2100:14673161.954;2200:9775026.154;2300:6600276.87;2400:4447712.543;2500:2965460.672;2600:1988585.088;2700:1329739.957;2800:889547.24;2900:602756.401;3000:397207.919;3100:263817.31;3200:179828.189;3300:119777.626;3400:82866.688;3500:56415.841;3600:38409.399;3700:27188.103;3800:19164.965;3900:13897.029;4000:10324.963;4100:8157.368;4200:6698.638;4300:5752.752;4400:5088.265;4500:4640.73;4600:4357.839;4700:4163.774;4800:4038.787;4900:3955.44;5000:3900.295
DE,F2,9266.835,1408.552,1:713431480.487;100:247035.428;200:182842.013;300:146514.672;400:123189.425;500:108434.98;600:99218.278;700:90568.174;800:82063.969;900:77430.948;1000:71630.813;1100:67517.682;1200:63968.161;1300:59541.1;1400:55963.928;1500:52940.772;1600:50027.294;1700:47412.179;1800:45245.427;1900:43812.772;2000:41815.445;2100:39679.632;2200:37600.014;2300:35521.296;2400:34025.027;2500:32274.977;2600:31065.906;2700:30071.868;2800:27981.921;2900:26575.734;3000:25474.781;3100:24131.913;3200:23004.833;3300:21935.218;3400:20816.303;3500:20173.348;3600:19055.751;3700:18253.105;3800:17544.067;3900:16703.227;4000:15810.156;4100:14997.38;4200:14256.673;4300:13726.13;4400:12936.662;4500:12114.232;4600:11526.789;4700:10949.277;4800:10528.121;4900:9998.939;5000:9266.835
DE,F3,593.592,3.998,1:179659.906;100:22360.183;200:8947.33;300:5667.896;400:3886.92;500:3119.4;600:2527.774;700:2125.763;800:1852.157;900:1651.742;1000:1510.519;1100:1387.932;1200:1289.02;1300:1189.913;1400:1126.545;1500:1066.342;1600:1015.589;1700:963.427;1800:918.864;1900:883.52;2000:843.235;2100:819.831;2200:789.332;2300:766.353;2400:747.144;2500:730.245;2600:713.114;2700:699.359;2800:685.005;2900:673.519;3000:663.711;3100:654.385;3200:645.679;3300:638.002;3400:632.43;3500:626.381;3600:621.224;3700:616.83;3800:612.832;3900:609.492;4000:606.468;4100:604.316;4200:602.125;4300:600.515;4400:599.042;4500:597.704;4600:596.778;4700:595.795;4800:595.005;4900:594.165;5000:593.592
DE,F4,1449.152,24.789,1:383643.942;100:110432.366;200:47417.653;300:28009.072;400:17602.279;500:11374.647;600:7749.701;700:5331.651;800:3990.083;900:3078.944;1000:2532.144;1100:2233.885;1200:2034.507;1300:1902.319;1400:1799.607;1500:1752.072;1600:1715.341;1700:1668.421;1800:1651.519;1900:1626.421;2000:1607.486;2100:1591.535;2200:1572.499;2300:1561.395;2400:1556.414;2500:1549.594;2600:1532.205;2700:1521.869;2800:1518.732;2900:1513.268;3000:1510.268;3100:1504.52;3200:1499.356;3300:1497.316;3400:1489.259;3500:1488.4;3600:1484.242;3700:1478.941;3800:1475.368;3900:1471.147;4000:1470.063;4100:1469.567;4200:1466.335;4300:1465.198;4400:1460.773;4500:1458.766;4600:1458.446;4700:1456.672;4800:1452.48;4900:1450.424;5000:1449.152
DE,F5,500.012,0.002,1:500.129;100:500.023;200:500.02;300:500.019;400:500.018;500:500.017;600:500.017;700:500.016;800:500.016;900:500.016;1000:500.016;1100:500.015;1200:500.015;1300:500.015;1400:500.015;1500:500.015;1600:500.014;1700:500.014;1800:500.014;1900:500.014;2000:500.014;2100:500.014;2200:500.014;2300:500.014;2400:500.014;2500:500.013;2600:500.013;2700:500.013;2800:500.013;2900:500.013;3000:500.013;3100:500.013;3200:500.013;3300:500.013;3400:500.013;3500:500.013;3600:500.013;3700:500.013;3800:500.012;3900:500.012;4000:500.012;4100:500.012;4200:500.012;4300:500.012;4400:500.012;4500:500.012;4600:500.012;4700:500.012;4800:500.012;4900:500.012;5000:500.012
DE,F6,1760.818,18.806,1:11770463.388;100:3771296.106;200:1553486.762;300:879661.521;400:511996.334;500:314820.619;600:198531.17;700:123546.698;800:75908.385;900:48369.735;1000:31417.469;1100:20482.709;1200:13351.635;1300:8997.889;1400:6361.621;1500:4603.527;1600:3587.66;1700:3007.323;1800:2601.531;1900:2354.02;2000:2214.329;2100:2120.663;2200:2060.459;2300:2019.236;2400:1982.922;2500:1951.807;2600:1930.688;2700:1906.906;2800:1892.081;2900:1876.575;3000:1866.967;3100:1855.481;3200:1848.448;3300:1839.77;3400:1832.243;3500:1830.684;3600:1819.775;3700:1817.171;3800:1812.25;3900:1804.116;4000:1799.706;4100:1797.399;4200:1793.221;4300:1787.384;4400:1779.48;4500:1778.467;4600:1775.906;4700:1770.425;4800:1766.614;4900:1762.787;5000:1760.818
DE,F7,2655.427,96.284,1:4081.417;100:3173.297;200:3056.012;300:3002.472;400:2972.063;500:2950.593;600:2911.441;700:2893.466;800:2883.748;900:2869.336;1000:2864.769;1100:2854.479;1200:2843.69;1300:2832.151;1400:2813.982;1500:2804.834;1600:2798.927;1700:2794.546;1800:2785.628;1900:2783.936;2000:2779.057;2100:2777.878;2200:2772.591;2300:2763.817;2400:2761.651;2500:2751.803;2600:2748.231;2700:2740.597;2800:2735.761;2900:2732.866;3000:2732.866;3100:2730.469;3200:2726.374;3300:2723.421;3400:2716.477;3500:2707.006;3600:2700.454;3700:2696.008;3800:2690.764;3900:2688.479;4000:2685.858;4100:2681.05;4200:2677.586;4300:2673.424;4400:2668.659;4500:2665.171;4600:2661.205;4700:2659.545;4800:2657.528;4900:2656.752;5000:2655.427
DE,F8,882.996,3.888,1:1201.082;100:941.152;200:921.458;300:915.148;400:911.75;500:908.551;600:906.246;700:904.774;800:903.563;900:902.235;1000:900.605;1100:899.594;1200:899.042;1300:898.087;1400:897.386;1500:896.684;1600:896.287;1700:895.504;1800:894.953;1900:894.498;2000:893.728;2100:892.715;2200:892.449;2300:892.061;2400:891.102;2500:890.542;2600:890.024;2700:889.702;2800:889.435;2900:889.258;3000:888.735;3100:888.321;3200:888.258;3300:888.095;3400:887.74;3500:887.413;3600:887.11;3700:887.11;3800:886.695;3900:886.329;4000:885.847;4100:885.335;4200:885.14;4300:884.863;4400:884.715;4500:884.622;4600:884.48;4700:884.308;4800:883.53;4900:883.297;5000:882.996
DE,F9,27645.153,520.494,1:42759.283;100:30913.294;200:30072.269;300:29529.004;400:29354.977;500:29228.97;600:29030.34;700:28925.818;800:28852.34;900:28768.144;1000:28681.296;1100:28629.469;1200:28558.706;1300:28508.857;1400:28414.587;1500:28335.382;1600:28318.662;1700:28280.659;1800:28230.209;1900:28170.386;2000:28149.586;2100:28093.155;2200:28089.423;2300:28043.433;2400:28034.246;2500:28034.246;2600:28009.29;2700:28009.29;2800:28002.207;2900:28002.207;3000:27997.766;3100:27981.597;3200:27980.846;3300:27951.801;3400:27928.64;3500:27914.798;3600:27884.007;3700:27864.106;3800:27818.505;3900:27770.948;4000:27765.024;4100:27760.24;4200:27760.24;4300:27717.312;4400:27717.312;4500:27717.312;4600:27693.398;4700:27668.829;4800:27668.829;4900:27663.115;5000:27645.153
DE,F10,14626.097,7425.121,1:97881973290.177;100:2750637098.95;200:109661174.324;300:22068465.418;400:8369875.671;500:3882815.396;600:2320502.898;700:1538187.003;800:1124610.799;900:915464.627;1000:733432.764;1100:609566.99;1200:532558.542;1300:469235.202;1400:404714.413;1500:354025.888;1600:315223.482;1700:284141.957;1800:250219.774;1900:224821.282;2000:200595.566;2100:179940.365;2200:158366.135;2300:145653.278;2400:134201.123;2500:121015.415;2600:109675.853;2700:100334.449;2800:92379.95;2900:83022.536;3000:76440.777;3100:70635.63;3200:65286.553;3300:60496.823;3400:54239.188;3500:50728.0;3600:46780.816;3700:43093.779;3800:40284.273;3900:37410.471;4000:32688.005;4100:30255.591;4200:27874.429;4300:25805.82;4400:23887.555;4500:22126.043;4600:20451.537;4700:18821.111;4800:17288.353;4900:15899.539;5000:14626.097
