Algorithm,Function,Mean,Std,Convergence
DE,F1,133.295,23.761,1:28669369932.15;100:212484454.043;200:855834.076;300:23359.219;400:1072.323;500:133.295
DE,F2,200.0,0.0,1:2870545.794;100:1909.869;200:211.78;300:200.005;400:200.0;500:200.0
DE,F3,304.068,0.425,1:2471.021;100:313.754;200:304.53;300:304.197;400:304.112;500:304.068
DE,F4,418.598,3.696,1:21146.931;100:513.483;200:434.566;300:424.331;400:421.236;500:418.598
DE,F5,500.0,0.0,1:500.017;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0
DE,F6,630.681,2.763,1:610836.263;100:1733.139;200:650.144;300:638.303;400:634.003;500:630.681
DE,F7,758.4,8.845,1:913.058;100:762.632;200:759.159;300:758.502;400:758.401;500:758.4
DE,F8,802.153,0.032,1:807.557;100:802.226;200:802.153;300:802.153;400:802.153;500:802.153
DE,F9,1882.445,301.249,1:4689.353;100:2195.265;200:2000.754;300:1897.535;400:1882.81;500:1882.445
DE,F10,1040.871,30.847,1:322135409.33;100:11854.069;200:3570.707;300:1372.828;400:1082.623;500:1040.871
DE,F11,4215.704,2361.838,1:10405996737.936;100:15021251.379;200:262114.633;300:37617.996;400:10830.802;500:4215.704
DE,F12,1469.065,869.216,1:8863545793.027;100:70106.419;200:7418.634;300:2879.068;400:1757.226;500:1469.065
DE,F13,1340.032,6.252,1:4002441.685;100:11701.461;200:3217.61;300:1447.519;400:1354.744;500:1340.032
DE,F14,1415.022,8.604,1:2806164462.848;100:40823.275;200:4212.662;300:1806.625;400:1449.898;500:1415.022
DE,F15,1500.579,0.166,1:7984793766.45;100:3198.673;200:1583.762;300:1501.909;400:1500.894;500:1500.579
DE,F16,1637.865,38.824,1:82843246565822.06;100:2735.036;200:1707.736;300:1654.878;400:1642.899;500:1637.865
DE,F17,1725.061,3.184,1:4429437549.757;100:12892.966;200:2628.233;300:1795.823;400:1736.975;500:1725.061
DE,F18,1803.495,0.77,1:7.588329486183802e+16;100:1385946098114.97;200:1239549247.929;300:3043.177;400:1805.03;500:1803.495
DE,F19,1910.406,4.246,1:12250.256;100:2129.543;200:1928.538;300:1919.775;400:1914.238;500:1910.406
DE,F20,2166.419,62.161,1:20451.728;100:2299.424;200:2175.504;300:2169.59;400:2167.547;500:2166.419
DE,F21,2446.348,131.479,1:4177.882;100:2449.941;200:2446.35;300:2446.348;400:2446.348;500:2446.348
DE,F22,2310.0,30.0,1:16092.354;100:2527.928;200:2315.242;300:2310.031;400:2310.0;500:2310.0
DE,F23,2400.0,0.0,1:12324.356;100:2556.003;200:2400.906;300:2400.006;400:2400.0;500:2400.0
DE,F24,2905.171,7.148,1:4147.179;100:2953.045;200:2911.139;300:2909.731;400:2906.57;500:2905.171
DE,F25,2500.0,0.0,1:6444.251;100:2677.047;200:2500.25;300:2500.001;400:2500.0;500:2500.0
DE,F26,3123.193,237.672,1:5221.529;100:3600.935;200:3189.381;300:3128.89;400:3124.348;500:3123.193
DE,F27,2700.0,0.0,1:5115.121;100:2856.423;200:2704.27;300:2700.02;400:2700.0;500:2700.0
DE,F28,3879.061,140.953,1:1.44711775224914e+16;100:105977.815;200:7091.114;300:4702.739;400:4073.26;500:3879.061
DE,F29,9967.824,2863.297,1:6455288433305953.0;100:1724638.725;200:101351.877;300:26381.597;400:14246.52;500:9967.824
