Algorithm,Function,Mean,Std,Convergence
DE,F1,7308.822,3863.49,1:82379068893.808;100:4032102433.404;200:290881173.361;300:50331787.188;400:12951240.483;500:4502123.939;600:1976054.544;700:881381.857;800:419592.918;900:232297.148;1000:124477.325;1100:67510.001;1200:38471.703;1300:21730.545;1400:12510.457;1500:7308.822
DE,F2,200.0,0.0,1:52308211.286;100:46540.089;200:16158.69;300:7355.394;400:3843.073;500:2073.289;600:1086.516;700:590.842;800:349.183;900:244.951;1000:209.654;1100:201.499;1200:200.167;1300:200.016;1400:200.002;1500:200.0
DE,F3,333.903,9.088,1:35303.756;100:1169.683;200:555.354;300:450.854;400:392.518;500:363.278;600:353.04;700:345.912;800:339.688;900:336.467;1000:334.791;1100:334.403;1200:334.284;1300:334.164;1400:334.033;1500:333.903
DE,F4,582.45,9.691,1:122340.055;100:7520.909;200:995.966;300:688.932;400:642.635;500:628.428;600:615.714;700:609.578;800:601.875;900:598.496;1000:596.439;1100:593.318;1200:591.178;1300:586.14;1400:583.98;1500:582.45
DE,F5,500.001,0.001,1:500.213;100:500.008;200:500.005;300:500.004;400:500.003;500:500.002;600:500.002;700:500.002;800:500.002;900:500.002;1000:500.001;1100:500.001;1200:500.001;1300:500.001;1400:500.001;1500:500.001
DE,F6,818.456,10.291,1:4029584.501;100:258040.712;200:12643.06;300:1612.9;400:948.708;500:890.725;600:864.197;700:854.275;800:844.694;900:837.327;1000:829.815;1100:826.394;1200:823.843;1300:820.933;1400:818.564;1500:818.456
DE,F7,1153.938,6.652,1:1516.087;100:1165.512;200:1159.324;300:1157.61;400:1156.878;500:1156.351;600:1155.451;700:1155.019;800:1154.723;900:1154.573;1000:1154.304;1100:1154.16;1200:1154.056;1300:1154.012;1400:1153.961;1500:1153.938
DE,F8,809.192,0.798,1:860.33;100:813.493;200:811.497;300:810.722;400:810.328;500:810.065;600:809.865;700:809.691;800:809.534;900:809.413;1000:809.321;1100:809.254;1200:809.223;1300:809.208;1400:809.196;1500:809.192
DE,F9,4344.396,311.919,1:9612.19;100:5704.217;200:5098.259;300:4746.951;400:4531.817;500:4438.777;600:4393.369;700:4375.986;800:4363.842;900:4355.392;1000:4349.608;1100:4348.394;1200:4346.691;1300:4345.361;1400:4344.675;1500:4344.396
DE,F10,49188.376,11614.282,1:22247501191.448;100:10316640.775;200:680844.769;300:339533.077;400:219959.277;500:188254.564;600:154097.312;700:137000.9;800:117240.022;900:97301.14;1000:89763.665;1100:76194.479;1200:70046.968;1300:63208.956;1400:56135.026;1500:49188.376
DE,F11,7119885.193,2432845.764,1:32027276709.66;100:425628925.733;200:96222058.24;300:61356680.21;400:44042766.991;500:33576571.203;600:28661106.405;700:22172558.733;800:19831615.904;900:16993098.229;1000:14605063.14;1100:12826054.269;1200:11029709.27;1300:9740906.118;1400:8174305.986;1500:7119885.193
DE,F12,18535.513,10244.407,1:28141852902.589;100:165736457.46;200:4329765.808;300:877902.217;400:329820.509;500:198037.844;600:124834.782;700:87861.075;800:65182.687;900:50526.824;1000:42573.577;1100:34774.889;1200:30454.633;1300:25584.667;1400:20597.026;1500:18535.513
DE,F13,23095.17,6989.34,1:800997345.422;100:3807662.509;200:996205.333;300:518224.604;400:260305.363;500:174365.526;600:122930.045;700:99655.618;800:74907.051;900:62007.86;1000:50185.287;1100:41864.21;1200:35829.142;1300:30637.064;1400:25516.613;1500:23095.17
DE,F14,85651.784,27701.275,1:17082714716.039;100:35189790.062;200:2398523.714;300:969158.749;400:587333.586;500:433952.763;600:340939.353;700:278112.86;800:224998.926;900:197812.45;1000:169777.05;1100:144392.752;1200:126602.387;1300:112667.591;1400:98739.861;1500:85651.784
DE,F15,1580.399,37.413,1:65466312235.482;100:1099354.895;200:39558.824;300:4600.564;400:2231.5;500:1985.995;600:1852.158;700:1777.614;800:1735.059;900:1694.432;1000:1666.09;1100:1649.3;1200:1625.521;1300:1611.464;1400:1594.038;1500:1580.399
DE,F16,5748.633,1646.254,1:2.6016795518345898e+17;100:9682879.513;200:92139.518;300:65401.525;400:44868.219;500:35722.766;600:30242.335;700:25865.051;800:19299.34;900:15432.098;1000:12741.969;1100:10708.317;1200:9026.519;1300:7507.731;1400:6558.694;1500:5748.633
DE,F17,34001.465,9741.52,1:4095582094.121;100:1551991.324;200:495772.424;300:305468.443;400:218204.075;500:158106.463;600:129598.72;700:98797.22;800:85863.841;900:75042.983;1000:62087.367;1100:55790.213;1200:49986.051;1300:43064.536;1400:38158.936;1500:34001.465
