Algorithm,Function,Mean,Std,Convergence
SaDE,F1,300,0,1:114502004.399;100:3141.264;200:309.119;300:300.007;400:300.0;500:300.0;600:300.0;700:300.0;800:300.0;900:300.0;1000:300.0;1100:300.0;1200:300.0;1300:300.0;1400:300.0;1500:300.0;1600:300.0;1700:300.0;1800:300.0;1900:300.0;2000:300.0;2100:300.0;2200:300.0;2300:300.0;2400:300.0;2500:300.0;2600:300.0;2700:300.0;2800:300.0;2900:300.0;3000:300.0;3100:300.0;3200:300.0;3300:300.0;3400:300.0;3500:300.0;3600:300.0;3700:300.0;3800:300.0;3900:300.0;4000:300.0;4100:300.0;4200:300.0;4300:300.0;4400:300.0;4500:300.0;4600:300.0;4700:300.0;4800:300.0;4900:300.0;5000:300.0;5100:300.0;5200:300.0;5300:300.0;5400:300.0;5500:300.0;5600:300.0;5700:300.0;5800:300.0;5900:300.0;6000:300.0;6100:300.0;6200:300.0;6300:300.0;6400:300.0;6500:300.0;6600:300.0;6700:300.0;6800:300.0;6900:300.0;7000:300.0;7100:300.0;7200:300.0;7300:300.0;7400:300.0;7500:300.0;7600:300.0;7700:300.0;7800:300.0;7900:300.0;8000:300.0;8100:300.0;8200:300.0;8300:300.0;8400:300.0;8500:300.0;8600:300.0;8700:300.0;8800:300.0;8900:300.0;9000:300.0;9100:300.0;9200:300.0;9300:300.0;9400:300.0;9500:300.0;9600:300.0;9700:300.0;9800:300.0;9900:300.0;10000:300.0
SaDE,F2,432.344,21.981,1:6936.67;100:492.588;200:459.643;300:453.766;400:453.366;500:453.145;600:452.913;700:452.584;800:446.016;900:445.9;1000:442.209;1100:436.729;1200:434.473;1300:433.546;1400:433.388;1500:433.275;1600:433.11;1700:432.957;1800:432.836;1900:432.66;2000:432.511;2100:432.426;2200:432.365;2300:432.352;2400:432.345;2500:432.344;2600:432.344;2700:432.344;2800:432.344;2900:432.344;3000:432.344;3100:432.344;3200:432.344;3300:432.344;3400:432.344;3500:432.344;3600:432.344;3700:432.344;3800:432.344;3900:432.344;4000:432.344;4100:432.344;4200:432.344;4300:432.344;4400:432.344;4500:432.344;4600:432.344;4700:432.344;4800:432.344;4900:432.344;5000:432.344;5100:432.344;5200:432.344;5300:432.344;5400:432.344;5500:432.344;5600:432.344;5700:432.344;5800:432.344;5900:432.344;6000:432.344;6100:432.344;6200:432.344;6300:432.344;6400:432.344;6500:432.344;6600:432.344;6700:432.344;6800:432.344;6900:432.344;7000:432.344;7100:432.344;7200:432.344;7300:432.344;7400:432.344;7500:432.344;7600:432.344;7700:432.344;7800:432.344;7900:432.344;8000:432.344;8100:432.344;8200:432.344;8300:432.344;8400:432.344;8500:432.344;8600:432.344;8700:432.344;8800:432.344;8900:432.344;9000:432.344;9100:432.344;9200:432.344;9300:432.344;9400:432.344;9500:432.344;9600:432.344;9700:432.344;9800:432.344;9900:432.344;10000:432.344
SaDE,F3,600,0,1:602.627;100:600.004;200:600.0;300:600.0;400:600.0;500:600.0;600:600.0;700:600.0;800:600.0;900:600.0;1000:600.0;1100:600.0;1200:600.0;1300:600.0;1400:600.0;1500:600.0;1600:600.0;1700:600.0;1800:600.0;1900:600.0;2000:600.0;2100:600.0;2200:600.0;2300:600.0;2400:600.0;2500:600.0;2600:600.0;2700:600.0;2800:600.0;2900:600.0;3000:600.0;3100:600.0;3200:600.0;3300:600.0;3400:600.0;3500:600.0;3600:600.0;3700:600.0;3800:600.0;3900:600.0;4000:600.0;4100:600.0;4200:600.0;4300:600.0;4400:600.0;4500:600.0;4600:600.0;4700:600.0;4800:600.0;4900:600.0;5000:600.0;5100:600.0;5200:600.0;5300:600.0;5400:600.0;5500:600.0;5600:600.0;5700:600.0;5800:600.0;5900:600.0;6000:600.0;6100:600.0;6200:600.0;6300:600.0;6400:600.0;6500:600.0;6600:600.0;6700:600.0;6800:600.0;6900:600.0;7000:600.0;7100:600.0;7200:600.0;7300:600.0;7400:600.0;7500:600.0;7600:600.0;7700:600.0;7800:600.0;7900:600.0;8000:600.0;8100:600.0;8200:600.0;8300:600.0;8400:600.0;8500:600.0;8600:600.0;8700:600.0;8800:600.0;8900:600.0;9000:600.0;9100:600.0;9200:600.0;9300:600.0;9400:600.0;9500:600.0;9600:600.0;9700:600.0;9800:600.0;9900:600.0;10000:600.0
SaDE,F4,972.4,16.966,1:1363.445;100:979.856;200:978.45;300:978.416;400:976.56;500:975.103;600:973.048;700:972.637;800:972.601;900:972.601;1000:972.601;1100:972.601;1200:972.601;1300:972.46;1400:972.412;1500:972.404;1600:972.4;1700:972.4;1800:972.4;1900:972.4;2000:972.4;2100:972.4;2200:972.4;2300:972.4;2400:972.4;2500:972.4;2600:972.4;2700:972.4;2800:972.4;2900:972.4;3000:972.4;3100:972.4;3200:972.4;3300:972.4;3400:972.4;3500:972.4;3600:972.4;3700:972.4;3800:972.4;3900:972.4;4000:972.4;4100:972.4;4200:972.4;4300:972.4;4400:972.4;4500:972.4;4600:972.4;4700:972.4;4800:972.4;4900:972.4;5000:972.4;5100:972.4;5200:972.4;5300:972.4;5400:972.4;5500:972.4;5600:972.4;5700:972.4;5800:972.4;5900:972.4;6000:972.4;6100:972.4;6200:972.4;6300:972.4;6400:972.4;6500:972.4;6600:972.4;6700:972.4;6800:972.4;6900:972.4;7000:972.4;7100:972.4;7200:972.4;7300:972.4;7400:972.4;7500:972.4;7600:972.4;7700:972.4;7800:972.4;7900:972.4;8000:972.4;8100:972.4;8200:972.4;8300:972.4;8400:972.4;8500:972.4;8600:972.4;8700:972.4;8800:972.4;8900:972.4;9000:972.4;9100:972.4;9200:972.4;9300:972.4;9400:972.4;9500:972.4;9600:972.4;9700:972.4;9800:972.4;9900:972.4;10000:972.4
SaDE,F5,901.923,0.447,1:922.748;100:902.07;200:901.933;300:901.923;400:901.923;500:901.923;600:901.923;700:901.923;800:901.923;900:901.923;1000:901.923;1100:901.923;1200:901.923;1300:901.923;1400:901.923;1500:901.923;1600:901.923;1700:901.923;1800:901.923;1900:901.923;2000:901.923;2100:901.923;2200:901.923;2300:901.923;2400:901.923;2500:901.923;2600:901.923;2700:901.923;2800:901.923;2900:901.923;3000:901.923;3100:901.923;3200:901.923;3300:901.923;3400:901.923;3500:901.923;3600:901.923;3700:901.923;3800:901.923;3900:901.923;4000:901.923;4100:901.923;4200:901.923;4300:901.923;4400:901.923;4500:901.923;4600:901.923;4700:901.923;4800:901.923;4900:901.923;5000:901.923;5100:901.923;5200:901.923;5300:901.923;5400:901.923;5500:901.923;5600:901.923;5700:901.923;5800:901.923;5900:901.923;6000:901.923;6100:901.923;6200:901.923;6300:901.923;6400:901.923;6500:901.923;6600:901.923;6700:901.923;6800:901.923;6900:901.923;7000:901.923;7100:901.923;7200:901.923;7300:901.923;7400:901.923;7500:901.923;7600:901.923;7700:901.923;7800:901.923;7900:901.923;8000:901.923;8100:901.923;8200:901.923;8300:901.923;8400:901.923;8500:901.923;8600:901.923;8700:901.923;8800:901.923;8900:901.923;9000:901.923;9100:901.923;9200:901.923;9300:901.923;9400:901.923;9500:901.923;9600:901.923;9700:901.923;9800:901.923;9900:901.923;10000:901.923
SaDE,F6,2449.761,353.202,1:16858430924.957;100:2441337.94;200:154304.875;300:54466.98;400:40273.448;500:32985.87;600:27048.242;700:20877.986;800:18213.874;900:16120.96;1000:14840.922;1100:14128.654;1200:13667.33;1300:12796.717;1400:12477.617;1500:11977.981;1600:11514.804;1700:11024.152;1800:10531.171;1900:9985.884;2000:8768.812;2100:7853.064;2200:7252.634;2300:6583.926;2400:6256.035;2500:5993.446;2600:5668.016;2700:5406.488;2800:5274.453;2900:5093.337;3000:4952.283;3100:4836.18;3200:4605.854;3300:4388.729;3400:4233.978;3500:4071.101;3600:3752.981;3700:3645.061;3800:3498.278;3900:3448.606;4000:3377.371;4100:3324.555;4200:3287.605;4300:3251.468;4400:3222.632;4500:3181.649;4600:3160.723;4700:3149.294;4800:3130.045;4900:3118.487;5000:3101.569;5100:3081.686;5200:3057.32;5300:3045.515;5400:3027.413;5500:2992.199;5600:2963.035;5700:2939.347;5800:2919.669;5900:2901.166;6000:2875.974;6100:2861.253;6200:2840.938;6300:2813.482;6400:2784.865;6500:2774.116;6600:2761.201;6700:2741.186;6800:2731.812;6900:2721.72;7000:2715.425;7100:2711.804;7200:2703.274;7300:2688.096;7400:2678.085;7500:2671.206;7600:2664.839;7700:2652.951;7800:2639.15;7900:2622.059;8000:2610.104;8100:2605.393;8200:2589.322;8300:2574.62;8400:2570.94;8500:2563.019;8600:2549.015;8700:2535.81;8800:2524.561;8900:2507.177;9000:2497.5;9100:2492.41;9200:2483.996;9300:2478.27;9400:2470.759;9500:2468.208;9600:2464.038;9700:2458.388;9800:2454.676;9900:2452.112;10000:2449.761
SaDE,F7,2021.975,1.213,1:16627.12;100:2181.501;200:2078.525;300:2053.937;400:2042.503;500:2036.44;600:2034.014;700:2032.334;800:2031.26;900:2030.263;1000:2029.752;1100:2029.322;1200:2028.871;1300:2028.554;1400:2028.234;1500:2027.754;1600:2027.408;1700:2027.289;1800:2027.051;1900:2026.641;2000:2026.599;2100:2026.374;2200:2026.035;2300:2025.829;2400:2025.518;2500:2025.412;2600:2025.348;2700:2025.34;2800:2025.325;2900:2025.257;3000:2025.179;3100:2025.107;3200:2024.963;3300:2024.8;3400:2024.788;3500:2024.57;3600:2024.564;3700:2024.508;3800:2024.484;3900:2024.287;4000:2024.27;4100:2024.155;4200:2024.145;4300:2024.112;4400:2023.985;4500:2023.954;4600:2023.88;4700:2023.866;4800:2023.855;4900:2023.823;5000:2023.758;5100:2023.641;5200:2023.558;5300:2023.476;5400:2023.443;5500:2023.427;5600:2023.398;5700:2023.376;5800:2023.33;5900:2023.265;6000:2023.107;6100:2023.097;6200:2023.092;6300:2023.067;6400:2023.055;6500:2023.046;6600:2023.041;6700:2022.986;6800:2022.956;6900:2022.876;7000:2022.828;7100:2022.816;7200:2022.784;7300:2022.757;7400:2022.75;7500:2022.733;7600:2022.712;7700:2022.629;7800:2022.606;7900:2022.572;8000:2022.556;8100:2022.536;8200:2022.511;8300:2022.401;8400:2022.366;8500:2022.27;8600:2022.231;8700:2022.217;8800:2022.196;8900:2022.175;9000:2022.11;9100:2022.095;9200:2022.093;9300:2022.088;9400:2022.082;9500:2022.079;9600:2022.071;9700:2022.066;9800:2022.048;9900:2021.997;10000:2021.975
SaDE,F8,2221.987,1.315,1:4.407322733333234e+17;100:3521.055;200:2475.874;300:2277.651;400:2239.547;500:2232.598;600:2230.305;700:2228.312;800:2227.614;900:2226.784;1000:2226.267;1100:2226.197;1200:2225.638;1300:2225.103;1400:2224.795;1500:2224.544;1600:2224.216;1700:2224.109;1800:2223.953;1900:2223.654;2000:2223.427;2100:2223.366;2200:2223.355;2300:2223.27;2400:2223.219;2500:2223.18;2600:2223.138;2700:2223.123;2800:2223.081;2900:2223.081;3000:2223.081;3100:2223.074;3200:2223.067;3300:2223.026;3400:2223.025;3500:2222.986;3600:2222.979;3700:2222.971;3800:2222.931;3900:2222.794;4000:2222.762;4100:2222.762;4200:2222.76;4300:2222.75;4400:2222.744;4500:2222.743;4600:2222.742;4700:2222.741;4800:2222.741;4900:2222.741;5000:2222.739;5100:2222.734;5200:2222.73;5300:2222.729;5400:2222.729;5500:2222.729;5600:2222.727;5700:2222.716;5800:2222.675;5900:2222.617;6000:2222.562;6100:2222.551;6200:2222.525;6300:2222.523;6400:2222.521;6500:2222.521;6600:2222.521;6700:2222.52;6800:2222.511;6900:2222.467;7000:2222.458;7100:2222.455;7200:2222.447;7300:2222.442;7400:2222.433;7500:2222.432;7600:2222.427;7700:2222.4;7800:2222.353;7900:2222.325;8000:2222.315;8100:2222.312;8200:2222.304;8300:2222.3;8400:2222.293;8500:2222.293;8600:2222.291;8700:2222.288;8800:2222.277;8900:2222.269;9000:2222.241;9100:2222.241;9200:2222.235;9300:2222.229;9400:2222.134;9500:2222.092;9600:2222.069;9700:2222.054;9800:2222.033;9900:2221.995;10000:2221.987
SaDE,F9,2635.639,0,1:25806.233;100:2698.169;200:2640.621;300:2636.034;400:2635.68;500:2635.644;600:2635.639;700:2635.639;800:2635.639;900:2635.639;1000:2635.639;1100:2635.639;1200:2635.639;1300:2635.639;1400:2635.639;1500:2635.639;1600:2635.639;1700:2635.639;1800:2635.639;1900:2635.639;2000:2635.639;2100:2635.639;2200:2635.639;2300:2635.639;2400:2635.639;2500:2635.639;2600:2635.639;2700:2635.639;2800:2635.639;2900:2635.639;3000:2635.639;3100:2635.639;3200:2635.639;3300:2635.639;3400:2635.639;3500:2635.639;3600:2635.639;3700:2635.639;3800:2635.639;3900:2635.639;4000:2635.639;4100:2635.639;4200:2635.639;4300:2635.639;4400:2635.639;4500:2635.639;4600:2635.639;4700:2635.639;4800:2635.639;4900:2635.639;5000:2635.639;5100:2635.639;5200:2635.639;5300:2635.639;5400:2635.639;5500:2635.639;5600:2635.639;5700:2635.639;5800:2635.639;5900:2635.639;6000:2635.639;6100:2635.639;6200:2635.639;6300:2635.639;6400:2635.639;6500:2635.639;6600:2635.639;6700:2635.639;6800:2635.639;6900:2635.639;7000:2635.639;7100:2635.639;7200:2635.639;7300:2635.639;7400:2635.639;7500:2635.639;7600:2635.639;7700:2635.639;7800:2635.639;7900:2635.639;8000:2635.639;8100:2635.639;8200:2635.639;8300:2635.639;8400:2635.639;8500:2635.639;8600:2635.639;8700:2635.639;8800:2635.639;8900:2635.639;9000:2635.639;9100:2635.639;9200:2635.639;9300:2635.639;9400:2635.639;9500:2635.639;9600:2635.639;9700:2635.639;9800:2635.639;9900:2635.639;10000:2635.639
SaDE,F10,5219.417,313.837,1:10689.657;100:5652.135;200:5373.621;300:5332.399;400:5293.062;500:5282.841;600:5279.274;700:5277.037;800:5262.033;900:5244.132;1000:5238.297;1100:5223.979;1200:5220.986;1300:5220.343;1400:5219.567;1500:5219.468;1600:5219.418;1700:5219.417;1800:5219.417;1900:5219.417;2000:5219.417;2100:5219.417;2200:5219.417;2300:5219.417;2400:5219.417;2500:5219.417;2600:5219.417;2700:5219.417;2800:5219.417;2900:5219.417;3000:5219.417;3100:5219.417;3200:5219.417;3300:5219.417;3400:5219.417;3500:5219.417;3600:5219.417;3700:5219.417;3800:5219.417;3900:5219.417;4000:5219.417;4100:5219.417;4200:5219.417;4300:5219.417;4400:5219.417;4500:5219.417;4600:5219.417;4700:5219.417;4800:5219.417;4900:5219.417;5000:5219.417;5100:5219.417;5200:5219.417;5300:5219.417;5400:5219.417;5500:5219.417;5600:5219.417;5700:5219.417;5800:5219.417;5900:5219.417;6000:5219.417;6100:5219.417;6200:5219.417;6300:5219.417;6400:5219.417;6500:5219.417;6600:5219.417;6700:5219.417;6800:5219.417;6900:5219.417;7000:5219.417;7100:5219.417;7200:5219.417;7300:5219.417;7400:5219.417;7500:5219.417;7600:5219.417;7700:5219.417;7800:5219.417;7900:5219.417;8000:5219.417;8100:5219.417;8200:5219.417;8300:5219.417;8400:5219.417;8500:5219.417;8600:5219.417;8700:5219.417;8800:5219.417;8900:5219.417;9000:5219.417;9100:5219.417;9200:5219.417;9300:5219.417;9400:5219.417;9500:5219.417;9600:5219.417;9700:5219.417;9800:5219.417;9900:5219.417;10000:5219.417
