Algorithm,Function,Mean,Std,Convergence
LSHADE,F1,6419.604,6665.587,1:293409187052.681;100:34290454933.597;200:8695900877.302;300:2135385415.825;400:490516452.192;500:150751173.671;600:42885487.934;700:9334593.629;800:3744794.715;900:1461131.08;1000:539370.491;1100:214506.697;1200:105329.356;1300:52191.947;1400:14473.716;1500:9166.5;1600:7588.928;1700:6996.657;1800:6722.176;1900:6512.391;2000:6461.2;2100:6443.751;2200:6430.373;2300:6423.687;2400:6421.968;2500:6421.392;2600:6421.049;2700:6420.7;2800:6420.597;2900:6420.545;3000:6420.513;3100:6420.49;3200:6420.461;3300:6420.427;3400:6420.406;3500:6420.389;3600:6420.371;3700:6420.354;3800:6420.329;3900:6420.298;4000:6420.268;4100:6420.238;4200:6420.209;4300:6420.182;4400:6420.163;4500:6420.14;4600:6420.121;4700:6420.105;4800:6420.087;4900:6420.067;5000:6420.05;5100:6420.041;5200:6420.028;5300:6420.017;5400:6420.009;5500:6419.996;5600:6419.985;5700:6419.978;5800:6419.967;5900:6419.955;6000:6419.944;6100:6419.934;6200:6419.925;6300:6419.915;6400:6419.903;6500:6419.892;6600:6419.877;6700:6419.868;6800:6419.859;6900:6419.849;7000:6419.836;7100:6419.824;7200:6419.813;7300:6419.801;7400:6419.793;7500:6419.785;7600:6419.773;7700:6419.764;7800:6419.75;7900:6419.743;8000:6419.733;8100:6419.725;8200:6419.713;8300:6419.704;8400:6419.7;8500:6419.697;8600:6419.693;8700:6419.689;8800:6419.68;8900:6419.672;9000:6419.668;9100:6419.663;9200:6419.657;9300:6419.654;9400:6419.646;9500:6419.64;9600:6419.638;9700:6419.634;9800:6419.628;9900:6419.625;10000:6419.623;10100:6419.622;10200:6419.621;10300:6419.619;10400:6419.618;10500:6419.618;10600:6419.618;10700:6419.618;10800:6419.616;10900:6419.615;11000:6419.614;11100:6419.613;11200:6419.613;11300:6419.613;11400:6419.613;11500:6419.612;11600:6419.612;11700:6419.612;11800:6419.612;11900:6419.612;12000:6419.612;12100:6419.61;12200:6419.61;12300:6419.61;12400:6419.61;12500:6419.61;12600:6419.61;12700:6419.61;12800:6419.61;12900:6419.609;13000:6419.609;13100:6419.609;13200:6419.609;13300:6419.609;13400:6419.609;13500:6419.609;13600:6419.609;13700:6419.609;13800:6419.607;13900:6419.606;14000:6419.606;14100:6419.606;14200:6419.606;14300:6419.606;14400:6419.606;14500:6419.605;14600:6419.605;14700:6419.605;14800:6419.604;14900:6419.604;15000:6419.604;15100:6419.604;15200:6419.604;15300:6419.604;15400:6419.604;15500:6419.604;15600:6419.604;15700:6419.604;15800:6419.604;15900:6419.604;16000:6419.604;16100:6419.604;16200:6419.604;16300:6419.604;16400:6419.604;16500:6419.604;16600:6419.604;16700:6419.604
LSHADE,F2,202.203,6.608,1:721505465.799;100:236435.774;200:146429.185;300:97024.732;400:81527.302;500:76053.032;600:73631.572;700:72732.032;800:70225.955;900:70057.07;1000:69308.881;1100:69048.517;1200:68631.72;1300:68349.859;1400:68347.741;1500:68346.899;1600:68346.653;1700:68346.544;1800:68346.498;1900:66915.268;2000:66700.641;2100:37983.582;2200:33813.03;2300:32364.159;2400:31804.171;2500:31503.24;2600:30167.025;2700:30064.101;2800:30022.352;2900:29689.172;3000:28287.915;3100:28271.981;3200:28130.888;3300:28124.642;3400:28123.325;3500:28122.825;3600:28122.604;3700:28122.424;3800:28122.279;3900:28122.237;4000:28122.223;4100:28122.206;4200:28122.203;4300:28122.202;4400:28122.201;4500:28122.2;4600:28122.2;4700:28122.2;4800:22752.246;4900:6350.129;5000:3647.247;5100:2244.847;5200:1381.321;5300:865.063;5400:621.73;5500:536.597;5600:451.202;5700:351.514;5800:277.309;5900:258.562;6000:243.867;6100:228.07;6200:219.461;6300:216.812;6400:215.073;6500:213.36;6600:211.345;6700:209.601;6800:207.746;6900:206.188;7000:205.365;7100:204.98;7200:204.743;7300:204.642;7400:204.534;7500:204.341;7600:204.007;7700:203.892;7800:203.595;7900:203.047;8000:202.599;8100:202.465;8200:202.395;8300:202.381;8400:202.346;8500:202.281;8600:202.266;8700:202.258;8800:202.249;8900:202.24;9000:202.238;9100:202.237;9200:202.236;9300:202.232;9400:202.23;9500:202.228;9600:202.211;9700:202.21;9800:202.21;9900:202.21;10000:202.21;10100:202.209;10200:202.208;10300:202.208;10400:202.207;10500:202.206;10600:202.206;10700:202.206;10800:202.206;10900:202.206;11000:202.206;11100:202.205;11200:202.205;11300:202.205;11400:202.205;11500:202.205;11600:202.205;11700:202.205;11800:202.205;11900:202.205;12000:202.205;12100:202.205;12200:202.205;12300:202.205;12400:202.205;12500:202.205;12600:202.205;12700:202.205;12800:202.205;12900:202.205;13000:202.205;13100:202.205;13200:202.205;13300:202.204;13400:202.203;13500:202.203;13600:202.203;13700:202.203;13800:202.203;13900:202.203;14000:202.203;14100:202.203;14200:202.203;14300:202.203;14400:202.203;14500:202.203;14600:202.203;14700:202.203;14800:202.203;14900:202.203;15000:202.203;15100:202.203;15200:202.203;15300:202.203;15400:202.203;15500:202.203;15600:202.203;15700:202.203;15800:202.203;15900:202.203;16000:202.203;16100:202.203;16200:202.203;16300:202.203;16400:202.203;16500:202.203;16600:202.203;16700:202.203
LSHADE,F3,543.308,51.049,1:178187.822;100:3894.919;200:1497.341;300:1050.362;400:887.006;500:806.671;600:759.809;700:729.022;800:708.0;900:692.044;1000:677.682;1100:663.868;1200:652.211;1300:644.141;1400:637.017;1500:631.476;1600:626.605;1700:622.367;1800:618.566;1900:615.675;2000:612.671;2100:610.269;2200:607.705;2300:605.094;2400:602.694;2500:600.504;2600:598.427;2700:596.599;2800:594.872;2900:592.858;3000:591.009;3100:589.025;3200:587.095;3300:585.429;3400:583.225;3500:580.622;3600:578.836;3700:576.42;3800:574.398;3900:573.078;4000:572.175;4100:571.42;4200:570.595;4300:569.803;4400:569.044;4500:568.205;4600:567.238;4700:566.289;4800:565.213;4900:564.288;5000:563.277;5100:562.419;5200:561.413;5300:560.668;5400:559.899;5500:559.188;5600:558.221;5700:557.392;5800:556.693;5900:556.023;6000:555.263;6100:554.253;6200:553.486;6300:552.643;6400:551.83;6500:551.323;6600:550.946;6700:550.507;6800:550.105;6900:549.597;7000:549.241;7100:548.956;7200:548.647;7300:548.309;7400:548.024;7500:547.799;7600:547.402;7700:546.772;7800:546.43;7900:546.156;8000:545.979;8100:545.815;8200:545.658;8300:545.498;8400:545.369;8500:545.26;8600:545.18;8700:545.117;8800:545.036;8900:544.983;9000:544.923;9100:544.85;9200:544.782;9300:544.722;9400:544.663;9500:544.611;9600:544.571;9700:544.523;9800:544.494;9900:544.447;10000:544.398;10100:544.355;10200:544.324;10300:544.294;10400:544.268;10500:544.218;10600:544.167;10700:544.129;10800:544.029;10900:544.0;11000:543.955;11100:543.91;11200:543.888;11300:543.864;11400:543.826;11500:543.769;11600:543.742;11700:543.702;11800:543.666;11900:543.597;12000:543.579;12100:543.565;12200:543.551;12300:543.535;12400:543.519;12500:543.501;12600:543.489;12700:543.481;12800:543.473;12900:543.459;13000:543.451;13100:543.444;13200:543.437;13300:543.432;13400:543.424;13500:543.419;13600:543.414;13700:543.395;13800:543.379;13900:543.37;14000:543.361;14100:543.357;14200:543.352;14300:543.35;14400:543.348;14500:543.346;14600:543.342;14700:543.341;14800:543.339;14900:543.337;15000:543.336;15100:543.334;15200:543.334;15300:543.333;15400:543.331;15500:543.33;15600:543.329;15700:543.328;15800:543.327;15900:543.326;16000:543.325;16100:543.324;16200:543.323;16300:543.322;16400:543.319;16500:543.316;16600:543.315;16700:543.309
LSHADE,F4,1395.041,335.517,1:383614.235;100:35801.87;200:9745.877;300:3958.716;400:2409.043;500:2115.341;600:1891.518;700:1716.776;800:1582.945;900:1489.352;1000:1449.489;1100:1431.497;1200:1423.446;1300:1419.389;1400:1415.512;1500:1407.11;1600:1399.708;1700:1397.161;1800:1395.903;1900:1395.346;2000:1395.132;2100:1395.073;2200:1395.055;2300:1395.046;2400:1395.044;2500:1395.042;2600:1395.042;2700:1395.042;2800:1395.042;2900:1395.042;3000:1395.041;3100:1395.041;3200:1395.041;3300:1395.041;3400:1395.041;3500:1395.041;3600:1395.041;3700:1395.041;3800:1395.041;3900:1395.041;4000:1395.041;4100:1395.041;4200:1395.041;4300:1395.041;4400:1395.041;4500:1395.041;4600:1395.041;4700:1395.041;4800:1395.041;4900:1395.041;5000:1395.041;5100:1395.041;5200:1395.041;5300:1395.041;5400:1395.041;5500:1395.041;5600:1395.041;5700:1395.041;5800:1395.041;5900:1395.041;6000:1395.041;6100:1395.041;6200:1395.041;6300:1395.041;6400:1395.041;6500:1395.041;6600:1395.041;6700:1395.041;6800:1395.041;6900:1395.041;7000:1395.041;7100:1395.041;7200:1395.041;7300:1395.041;7400:1395.041;7500:1395.041;7600:1395.041;7700:1395.041;7800:1395.041;7900:1395.041;8000:1395.041;8100:1395.041;8200:1395.041;8300:1395.041;8400:1395.041;8500:1395.041;8600:1395.041;8700:1395.041;8800:1395.041;8900:1395.041;9000:1395.041;9100:1395.041;9200:1395.041;9300:1395.041;9400:1395.041;9500:1395.041;9600:1395.041;9700:1395.041;9800:1395.041;9900:1395.041;10000:1395.041;10100:1395.041;10200:1395.041;10300:1395.041;10400:1395.041;10500:1395.041;10600:1395.041;10700:1395.041;10800:1395.041;10900:1395.041;11000:1395.041;11100:1395.041;11200:1395.041;11300:1395.041;11400:1395.041;11500:1395.041;11600:1395.041;11700:1395.041;11800:1395.041;11900:1395.041;12000:1395.041;12100:1395.041;12200:1395.041;12300:1395.041;12400:1395.041;12500:1395.041;12600:1395.041;12700:1395.041;12800:1395.041;12900:1395.041;13000:1395.041;13100:1395.041;13200:1395.041;13300:1395.041;13400:1395.041;13500:1395.041;13600:1395.041;13700:1395.041;13800:1395.041;13900:1395.041;14000:1395.041;14100:1395.041;14200:1395.041;14300:1395.041;14400:1395.041;14500:1395.041;14600:1395.041;14700:1395.041;14800:1395.041;14900:1395.041;15000:1395.041;15100:1395.041;15200:1395.041;15300:1395.041;15400:1395.041;15500:1395.041;15600:1395.041;15700:1395.041;15800:1395.041;15900:1395.041;16000:1395.041;16100:1395.041;16200:1395.041;16300:1395.041;16400:1395.041;16500:1395.041;16600:1395.041;16700:1395.041
LSHADE,F5,500.0,0.0,1:500.127;100:500.006;200:500.002;300:500.001;400:500.001;500:500.001;600:500.001;700:500.001;800:500.001;900:500.001;1000:500.001;1100:500.001;1200:500.0;1300:500.0;1400:500.0;1500:500.0;1600:500.0;1700:500.0;1800:500.0;1900:500.0;2000:500.0;2100:500.0;2200:500.0;2300:500.0;2400:500.0;2500:500.0;2600:500.0;2700:500.0;2800:500.0;2900:500.0;3000:500.0;3100:500.0;3200:500.0;3300:500.0;3400:500.0;3500:500.0;3600:500.0;3700:500.0;3800:500.0;3900:500.0;4000:500.0;4100:500.0;4200:500.0;4300:500.0;4400:500.0;4500:500.0;4600:500.0;4700:500.0;4800:500.0;4900:500.0;5000:500.0;5100:500.0;5200:500.0;5300:500.0;5400:500.0;5500:500.0;5600:500.0;5700:500.0;5800:500.0;5900:500.0;6000:500.0;6100:500.0;6200:500.0;6300:500.0;6400:500.0;6500:500.0;6600:500.0;6700:500.0;6800:500.0;6900:500.0;7000:500.0;7100:500.0;7200:500.0;7300:500.0;7400:500.0;7500:500.0;7600:500.0;7700:500.0;7800:500.0;7900:500.0;8000:500.0;8100:500.0;8200:500.0;8300:500.0;8400:500.0;8500:500.0;8600:500.0;8700:500.0;8800:500.0;8900:500.0;9000:500.0;9100:500.0;9200:500.0;9300:500.0;9400:500.0;9500:500.0;9600:500.0;9700:500.0;9800:500.0;9900:500.0;10000:500.0;10100:500.0;10200:500.0;10300:500.0;10400:500.0;10500:500.0;10600:500.0;10700:500.0;10800:500.0;10900:500.0;11000:500.0;11100:500.0;11200:500.0;11300:500.0;11400:500.0;11500:500.0;11600:500.0;11700:500.0;11800:500.0;11900:500.0;12000:500.0;12100:500.0;12200:500.0;12300:500.0;12400:500.0;12500:500.0;12600:500.0;12700:500.0;12800:500.0;12900:500.0;13000:500.0;13100:500.0;13200:500.0;13300:500.0;13400:500.0;13500:500.0;13600:500.0;13700:500.0;13800:500.0;13900:500.0;14000:500.0;14100:500.0;14200:500.0;14300:500.0;14400:500.0;14500:500.0;14600:500.0;14700:500.0;14800:500.0;14900:500.0;15000:500.0;15100:500.0;15200:500.0;15300:500.0;15400:500.0;15500:500.0;15600:500.0;15700:500.0;15800:500.0;15900:500.0;16000:500.0;16100:500.0;16200:500.0;16300:500.0;16400:500.0;16500:500.0;16600:500.0;16700:500.0
LSHADE,F6,1520.436,231.504,1:11746946.787;100:1444352.119;200:327051.22;300:91228.3;400:24566.593;500:9984.959;600:3766.968;700:2532.129;800:2246.41;900:2082.656;1000:1881.548;1100:1774.308;1200:1665.373;1300:1629.906;1400:1610.842;1500:1600.849;1600:1594.012;1700:1587.294;1800:1582.997;1900:1579.005;2000:1575.214;2100:1572.497;2200:1570.858;2300:1565.747;2400:1561.641;2500:1558.985;2600:1556.706;2700:1553.967;2800:1552.215;2900:1549.801;3000:1548.891;3100:1547.884;3200:1547.271;3300:1546.271;3400:1545.366;3500:1543.635;3600:1543.202;3700:1542.751;3800:1542.534;3900:1541.916;4000:1541.434;4100:1540.741;4200:1539.801;4300:1539.063;4400:1537.862;4500:1537.033;4600:1536.799;4700:1536.072;4800:1535.361;4900:1534.779;5000:1534.009;5100:1533.852;5200:1533.463;5300:1532.759;5400:1532.219;5500:1531.752;5600:1531.225;5700:1530.633;5800:1530.526;5900:1530.33;6000:1530.23;6100:1529.949;6200:1529.773;6300:1529.568;6400:1529.422;6500:1529.271;6600:1529.217;6700:1529.144;6800:1528.661;6900:1528.575;7000:1528.441;7100:1528.272;7200:1528.115;7300:1527.969;7400:1527.782;7500:1527.69;7600:1527.608;7700:1527.404;7800:1527.23;7900:1527.037;8000:1526.966;8100:1526.73;8200:1526.607;8300:1526.318;8400:1526.202;8500:1526.073;8600:1525.718;8700:1525.631;8800:1525.516;8900:1525.437;9000:1525.364;9100:1525.228;9200:1525.201;9300:1525.166;9400:1525.115;9500:1525.054;9600:1524.606;9700:1524.397;9800:1524.342;9900:1524.323;10000:1524.244;10100:1523.929;10200:1523.885;10300:1523.688;10400:1523.651;10500:1523.533;10600:1523.51;10700:1523.462;10800:1523.422;10900:1523.331;11000:1523.32;11100:1523.278;11200:1523.248;11300:1523.216;11400:1523.075;11500:1522.974;11600:1522.917;11700:1522.854;11800:1522.782;11900:1522.766;12000:1522.681;12100:1522.647;12200:1522.559;12300:1522.506;12400:1522.46;12500:1522.418;12600:1522.35;12700:1522.314;12800:1522.246;12900:1522.225;13000:1522.174;13100:1522.151;13200:1522.138;13300:1522.077;13400:1521.965;13500:1521.884;13600:1521.859;13700:1521.846;13800:1521.782;13900:1521.493;14000:1521.488;14100:1521.444;14200:1521.432;14300:1521.347;14400:1521.331;14500:1521.33;14600:1521.326;14700:1521.315;14800:1521.298;14900:1521.211;15000:1521.202;15100:1521.191;15200:1521.129;15300:1521.119;15400:1521.101;15500:1521.098;15600:1521.081;15700:1521.079;15800:1521.076;15900:1521.071;16000:1521.069;16100:1521.068;16200:1521.066;16300:1521.065;16400:1520.929;16500:1520.921;16600:1520.9;16700:1520.601
LSHADE,F7,2528.75,54.53,1:4062.824;100:2580.541;200:2532.339;300:2528.784;400:2528.75;500:2528.75;600:2528.75;700:2528.75;800:2528.75;900:2528.75;1000:2528.75;1100:2528.75;1200:2528.75;1300:2528.75;1400:2528.75;1500:2528.75;1600:2528.75;1700:2528.75;1800:2528.75;1900:2528.75;2000:2528.75;2100:2528.75;2200:2528.75;2300:2528.75;2400:2528.75;2500:2528.75;2600:2528.75;2700:2528.75;2800:2528.75;2900:2528.75;3000:2528.75;3100:2528.75;3200:2528.75;3300:2528.75;3400:2528.75;3500:2528.75;3600:2528.75;3700:2528.75;3800:2528.75;3900:2528.75;4000:2528.75;4100:2528.75;4200:2528.75;4300:2528.75;4400:2528.75;4500:2528.75;4600:2528.75;4700:2528.75;4800:2528.75;4900:2528.75;5000:2528.75;5100:2528.75;5200:2528.75;5300:2528.75;5400:2528.75;5500:2528.75;5600:2528.75;5700:2528.75;5800:2528.75;5900:2528.75;6000:2528.75;6100:2528.75;6200:2528.75;6300:2528.75;6400:2528.75;6500:2528.75;6600:2528.75;6700:2528.75;6800:2528.75;6900:2528.75;7000:2528.75;7100:2528.75;7200:2528.75;7300:2528.75;7400:2528.75;7500:2528.75;7600:2528.75;7700:2528.75;7800:2528.75;7900:2528.75;8000:2528.75;8100:2528.75;8200:2528.75;8300:2528.75;8400:2528.75;8500:2528.75;8600:2528.75;8700:2528.75;8800:2528.75;8900:2528.75;9000:2528.75;9100:2528.75;9200:2528.75;9300:2528.75;9400:2528.75;9500:2528.75;9600:2528.75;9700:2528.75;9800:2528.75;9900:2528.75;10000:2528.75;10100:2528.75;10200:2528.75;10300:2528.75;10400:2528.75;10500:2528.75;10600:2528.75;10700:2528.75;10800:2528.75;10900:2528.75;11000:2528.75;11100:2528.75;11200:2528.75;11300:2528.75;11400:2528.75;11500:2528.75;11600:2528.75;11700:2528.75;11800:2528.75;11900:2528.75;12000:2528.75;12100:2528.75;12200:2528.75;12300:2528.75;12400:2528.75;12500:2528.75;12600:2528.75;12700:2528.75;12800:2528.75;12900:2528.75;13000:2528.75;13100:2528.75;13200:2528.75;13300:2528.75;13400:2528.75;13500:2528.75;13600:2528.75;13700:2528.75;13800:2528.75;13900:2528.75;14000:2528.75;14100:2528.75;14200:2528.75;14300:2528.75;14400:2528.75;14500:2528.75;14600:2528.75;14700:2528.75;14800:2528.75;14900:2528.75;15000:2528.75;15100:2528.75;15200:2528.75;15300:2528.75;15400:2528.75;15500:2528.75;15600:2528.75;15700:2528.75;15800:2528.75;15900:2528.75;16000:2528.75;16100:2528.75;16200:2528.75;16300:2528.75;16400:2528.75;16500:2528.75;16600:2528.75;16700:2528.75
LSHADE,F8,858.827,4.778,1:1199.817;100:879.075;200:866.528;300:862.959;400:861.247;500:860.353;600:859.886;700:859.594;800:859.417;900:859.314;1000:859.244;1100:859.181;1200:859.126;1300:859.089;1400:859.061;1500:859.039;1600:859.018;1700:858.998;1800:858.982;1900:858.952;2000:858.937;2100:858.925;2200:858.917;2300:858.908;2400:858.894;2500:858.883;2600:858.876;2700:858.87;2800:858.864;2900:858.86;3000:858.857;3100:858.854;3200:858.851;3300:858.85;3400:858.848;3500:858.847;3600:858.846;3700:858.845;3800:858.844;3900:858.843;4000:858.841;4100:858.839;4200:858.836;4300:858.834;4400:858.833;4500:858.832;4600:858.831;4700:858.831;4800:858.831;4900:858.83;5000:858.83;5100:858.83;5200:858.83;5300:858.829;5400:858.829;5500:858.829;5600:858.829;5700:858.829;5800:858.828;5900:858.828;6000:858.828;6100:858.828;6200:858.828;6300:858.828;6400:858.828;6500:858.828;6600:858.828;6700:858.828;6800:858.828;6900:858.828;7000:858.828;7100:858.828;7200:858.828;7300:858.828;7400:858.828;7500:858.828;7600:858.828;7700:858.828;7800:858.828;7900:858.828;8000:858.828;8100:858.828;8200:858.827;8300:858.827;8400:858.827;8500:858.827;8600:858.827;8700:858.827;8800:858.827;8900:858.827;9000:858.827;9100:858.827;9200:858.827;9300:858.827;9400:858.827;9500:858.827;9600:858.827;9700:858.827;9800:858.827;9900:858.827;10000:858.827;10100:858.827;10200:858.827;10300:858.827;10400:858.827;10500:858.827;10600:858.827;10700:858.827;10800:858.827;10900:858.827;11000:858.827;11100:858.827;11200:858.827;11300:858.827;11400:858.827;11500:858.827;11600:858.827;11700:858.827;11800:858.827;11900:858.827;12000:858.827;12100:858.827;12200:858.827;12300:858.827;12400:858.827;12500:858.827;12600:858.827;12700:858.827;12800:858.827;12900:858.827;13000:858.827;13100:858.827;13200:858.827;13300:858.827;13400:858.827;13500:858.827;13600:858.827;13700:858.827;13800:858.827;13900:858.827;14000:858.827;14100:858.827;14200:858.827;14300:858.827;14400:858.827;14500:858.827;14600:858.827;14700:858.827;14800:858.827;14900:858.827;15000:858.827;15100:858.827;15200:858.827;15300:858.827;15400:858.827;15500:858.827;15600:858.827;15700:858.827;15800:858.827;15900:858.827;16000:858.827;16100:858.827;16200:858.827;16300:858.827;16400:858.827;16500:858.827;16600:858.827;16700:858.827
LSHADE,F9,19467.29,6798.868,1:42490.38;100:31663.136;200:29833.787;300:28524.613;400:28191.03;500:27798.352;600:27320.169;700:27159.648;800:26887.506;900:26581.394;1000:26267.511;1100:26018.949;1200:25868.275;1300:25823.788;1400:25680.84;1500:25481.979;1600:25369.464;1700:25306.2;1800:25193.476;1900:24973.021;2000:24757.693;2100:24674.119;2200:24542.506;2300:24417.404;2400:24372.809;2500:24230.6;2600:24153.251;2700:24067.973;2800:23955.012;2900:23858.503;3000:23722.161;3100:23646.672;3200:23499.605;3300:23435.0;3400:23341.402;3500:23257.437;3600:23245.734;3700:23115.725;3800:23056.165;3900:22988.999;4000:22905.925;4100:22877.683;4200:22854.165;4300:22835.91;4400:22717.316;4500:22663.396;4600:22637.295;4700:22552.263;4800:22544.388;4900:22468.097;5000:22345.971;5100:22245.985;5200:22229.373;5300:22194.444;5400:22156.373;5500:22095.095;5600:22081.878;5700:22040.79;5800:22013.58;5900:22004.43;6000:21977.297;6100:21969.256;6200:21915.792;6300:21853.634;6400:21840.417;6500:21816.912;6600:21781.757;6700:21754.957;6800:21750.785;6900:21727.964;7000:21712.055;7100:21673.807;7200:21661.94;7300:21659.089;7400:21638.578;7500:21620.766;7600:21586.959;7700:21534.806;7800:21482.678;7900:21456.568;8000:21406.764;8100:21389.836;8200:21377.396;8300:21346.336;8400:21325.665;8500:21299.258;8600:21272.544;8700:21240.829;8800:21231.958;8900:21209.035;9000:21143.026;9100:21099.577;9200:21081.09;9300:21069.519;9400:21038.23;9500:20978.85;9600:20863.625;9700:20843.642;9800:20816.421;9900:20772.528;10000:20750.994;10100:20746.738;10200:20720.361;10300:20691.747;10400:20658.517;10500:20622.4;10600:20606.309;10700:20505.255;10800:20462.243;10900:20449.368;11000:20431.186;11100:20406.634;11200:20355.741;11300:20328.743;11400:20303.403;11500:20293.087;11600:20277.297;11700:20248.178;11800:20224.423;11900:20218.115;12000:20175.626;12100:20173.579;12200:20123.229;12300:20095.85;12400:20091.529;12500:20066.971;12600:20047.712;12700:20026.862;12800:20008.204;12900:20002.872;13000:19985.356;13100:19977.284;13200:19948.172;13300:19922.702;13400:19857.484;13500:19843.449;13600:19825.061;13700:19804.322;13800:19794.152;13900:19771.837;14000:19749.768;14100:19731.329;14200:19717.193;14300:19710.53;14400:19700.705;14500:19681.826;14600:19678.677;14700:19663.207;14800:19652.978;14900:19636.198;15000:19626.341;15100:19620.847;15200:19617.522;15300:19609.032;15400:19591.129;15500:19580.11;15600:19569.608;15700:19566.275;15800:19562.802;15900:19552.568;16000:19546.849;16100:19519.104;16200:19516.14;16300:19511.738;16400:19491.851;16500:19486.254;16600:19476.962;16700:19470.437
LSHADE,F10,1956.421,855.099,1:97298908534.853;100:13161801.007;200:421002.549;300:173109.64;400:81805.777;500:43357.952;600:26035.286;700:15115.006;800:10653.072;900:8804.555;1000:7976.642;1100:7788.665;1200:7634.249;1300:7525.964;1400:6938.023;1500:3815.544;1600:3191.065;1700:3051.857;1800:2914.717;1900:2519.892;2000:2461.469;2100:2429.795;2200:2402.486;2300:2375.915;2400:2350.943;2500:2320.197;2600:2296.415;2700:2273.106;2800:2253.83;2900:2241.841;3000:2231.557;3100:2222.157;3200:2211.973;3300:2199.014;3400:2179.697;3500:2171.889;3600:2162.824;3700:2155.26;3800:2147.513;3900:2143.844;4000:2141.265;4100:2137.022;4200:2132.971;4300:2129.224;4400:2123.896;4500:2118.89;4600:2111.95;4700:2106.339;4800:2103.404;4900:2097.733;5000:2092.621;5100:2089.066;5200:2085.297;5300:2081.591;5400:2078.393;5500:2075.022;5600:2067.032;5700:2058.025;5800:2050.938;5900:2044.434;6000:2037.92;6100:2031.755;6200:2027.733;6300:2025.145;6400:2022.958;6500:2021.152;6600:2019.152;6700:2016.727;6800:2012.653;6900:2008.778;7000:2006.62;7100:2004.144;7200:2002.095;7300:2000.234;7400:1998.957;7500:1998.243;7600:1996.596;7700:1995.198;7800:1994.496;7900:1994.197;8000:1993.685;8100:1993.347;8200:1992.677;8300:1991.632;8400:1991.065;8500:1990.616;8600:1990.262;8700:1989.539;8800:1988.336;8900:1987.411;9000:1986.546;9100:1986.176;9200:1985.782;9300:1985.28;9400:1985.001;9500:1984.596;9600:1984.336;9700:1983.741;9800:1982.878;9900:1982.27;10000:1981.928;10100:1981.531;10200:1981.149;10300:1979.216;10400:1975.912;10500:1971.242;10600:1969.879;10700:1969.356;10800:1968.006;10900:1967.676;11000:1967.375;11100:1966.929;11200:1966.083;11300:1964.472;11400:1963.331;11500:1963.032;11600:1962.538;11700:1962.18;11800:1960.519;11900:1960.103;12000:1959.971;12100:1959.939;12200:1959.794;12300:1959.141;12400:1958.859;12500:1958.745;12600:1958.551;12700:1958.442;12800:1958.31;12900:1958.27;13000:1958.202;13100:1958.188;13200:1958.169;13300:1958.079;13400:1958.041;13500:1958.002;13600:1957.87;13700:1957.829;13800:1957.813;13900:1957.808;14000:1957.804;14100:1957.802;14200:1957.788;14300:1957.786;14400:1957.785;14500:1957.784;14600:1957.774;14700:1957.773;14800:1957.771;14900:1957.762;15000:1957.76;15100:1957.756;15200:1957.756;15300:1956.565;15400:1956.536;15500:1956.519;15600:1956.514;15700:1956.514;15800:1956.513;15900:1956.511;16000:1956.507;16100:1956.439;16200:1956.433;16300:1956.432;16400:1956.432;16500:1956.432;16600:1956.432;16700:1956.43
