Algorithm,Function,Mean,Std,Convergence
SaDE,F1,100.005,0.006,1:28330462164.12;100:1452885.169;200:4083.497;300:148.352;400:100.509;500:100.005
SaDE,F2,200.0,0.0,1:2573135.669;100:243.383;200:200.0;300:200.0;400:200.0;500:200.0
SaDE,F3,303.321,1.636,1:2424.692;100:315.167;200:306.299;300:304.992;400:303.839;500:303.321
SaDE,F4,408.116,2.013,1:20919.993;100:445.13;200:422.254;300:414.5;400:410.151;500:408.116
SaDE,F5,500.0,0.0,1:500.013;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0
SaDE,F6,619.687,3.222,1:602632.462;100:684.556;200:638.147;300:627.768;400:622.633;500:619.687
SaDE,F7,761.2,11.565,1:911.729;100:763.643;200:761.756;300:761.61;400:761.534;500:761.2
SaDE,F8,802.122,0.205,1:807.33;100:802.124;200:802.122;300:802.122;400:802.122;500:802.122
SaDE,F9,2135.399,436.356,1:4473.256;100:2249.786;200:2143.532;300:2135.402;400:2135.399;500:2135.399
SaDE,F10,1055.83,27.787,1:287183971.812;100:4945.517;200:1253.936;300:1081.448;400:1061.725;500:1055.83
SaDE,F11,1193.944,147.484,1:10137629653.126;100:119162.538;200:5720.303;300:2168.325;400:1443.385;500:1193.944
SaDE,F12,1209.989,1.596,1:8724471282.415;100:6351.973;200:1310.698;300:1220.215;400:1212.687;500:1209.989
SaDE,F13,1330.262,3.371,1:2296956.646;100:4578.463;200:1526.276;300:1353.776;400:1335.514;500:1330.262
SaDE,F14,1402.819,0.992,1:2737749690.405;100:7200.687;200:1530.553;300:1413.252;400:1404.844;500:1402.819
SaDE,F15,1518.133,21.936,1:7533917390.159;100:2010.084;200:1546.79;300:1532.474;400:1524.506;500:1518.133
SaDE,F16,1640.451,54.276,1:70845377816827.5;100:1907.015;200:1658.981;300:1647.405;400:1643.981;500:1640.451
SaDE,F17,1713.116,5.5,1:4324335549.861;100:4961.887;200:1777.817;300:1726.527;400:1718.814;500:1713.116
SaDE,F18,1801.92,0.346,1:6.638971345035282e+16;100:1880.219;200:1805.67;300:1803.394;400:1802.461;500:1801.92
SaDE,F19,1903.027,1.026,1:12173.69;100:1942.563;200:1915.906;300:1908.194;400:1904.741;500:1903.027
SaDE,F20,2162.892,55.036,1:20306.231;100:2189.166;200:2172.256;300:2167.459;400:2164.443;500:2162.892
SaDE,F21,2395.947,194.662,1:4137.675;100:2400.529;200:2396.86;300:2396.257;400:2396.013;500:2395.947
SaDE,F22,2343.333,49.554,1:15970.875;100:2370.006;200:2343.373;300:2343.333;400:2343.333;500:2343.333
SaDE,F23,2400.0,0.0,1:12220.125;100:2410.899;200:2400.017;300:2400.0;400:2400.0;500:2400.0
SaDE,F24,2901.921,10.972,1:4119.232;100:2904.389;200:2902.364;300:2902.095;400:2901.973;500:2901.921
SaDE,F25,2631.161,217.97,1:6359.085;100:2636.383;200:2631.835;300:2631.162;400:2631.161;500:2631.161
SaDE,F26,3027.101,82.172,1:5176.769;100:3062.04;200:3034.24;300:3030.317;400:3027.129;500:3027.101
SaDE,F27,2700.0,0.0,1:5085.247;100:2736.823;200:2700.062;300:2700.0;400:2700.0;500:2700.0
SaDE,F28,4177.111,1038.479,1:1.3847718758413752e+16;100:13119.731;200:5079.262;300:4459.496;400:4320.166;500:4177.111
SaDE,F29,6523.956,2855.013,1:6063155449216998.0;100:117727.475;200:18085.026;300:11965.049;400:8506.026;500:6523.956
SHADE,F1,100.0,0.0,1:28508224502.386;100:562146.494;200:551.419;300:100.109;400:100.0;500:100.0
SHADE,F2,200.0,0.0,1:2590310.271;100:228.165;200:200.0;300:200.0;400:200.0;500:200.0
SHADE,F3,303.059,1.687,1:2462.174;100:317.809;200:305.094;300:303.938;400:303.178;500:303.059
SHADE,F4,407.548,1.356,1:21046.229;100:443.965;200:423.452;300:415.603;400:410.659;500:407.548
SHADE,F5,500.0,0.0,1:500.014;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0
SHADE,F6,618.485,1.785,1:607848.867;100:677.254;200:637.043;300:627.522;400:622.257;500:618.485
SHADE,F7,764.0,10.431,1:912.691;100:767.831;200:765.631;300:764.737;400:764.733;500:764.0
SHADE,F8,802.176,0.297,1:807.4;100:802.176;200:802.176;300:802.176;400:802.176;500:802.176
SHADE,F9,2358.001,406.408,1:4572.946;100:2411.558;200:2359.178;300:2358.167;400:2358.006;500:2358.001
SHADE,F10,1026.748,32.293,1:296238960.509;100:7049.13;200:1121.038;300:1037.717;400:1029.286;500:1026.748
SHADE,F11,1129.713,73.769,1:10222004327.813;100:58507.074;200:3757.443;300:1379.826;400:1157.694;500:1129.713
SHADE,F12,1208.483,1.207,1:8778342066.83;100:5988.966;200:1262.965;300:1213.83;400:1210.454;500:1208.483
SHADE,F13,1326.753,4.144,1:2938304.776;100:4541.55;200:1375.066;300:1338.305;400:1331.554;500:1326.753
SHADE,F14,1402.011,0.491,1:2725379069.884;100:7382.922;200:1430.227;300:1405.682;400:1402.927;500:1402.011
SHADE,F15,1521.127,78.98,1:7511814033.751;100:1930.067;200:1551.506;300:1531.814;400:1525.767;500:1521.127
SHADE,F16,1653.398,116.567,1:74823019521593.62;100:1984.687;200:1668.63;300:1658.824;400:1655.276;500:1653.398
SHADE,F17,1712.313,8.301,1:4367409913.489;100:4630.114;200:1733.256;300:1721.35;400:1717.015;500:1712.313
SHADE,F18,1802.201,0.316,1:6.868921203190069e+16;100:1817.424;200:1804.528;300:1803.351;400:1802.628;500:1802.201
SHADE,F19,1903.578,1.016,1:12258.95;100:1955.195;200:1917.901;300:1909.728;400:1905.726;500:1903.578
SHADE,F20,2164.476,52.657,1:20377.374;100:2191.505;200:2176.3;300:2170.398;400:2166.435;500:2164.476
SHADE,F21,2556.558,399.556,1:4101.413;100:2561.315;200:2557.237;300:2556.73;400:2556.64;500:2556.558
SHADE,F22,2333.333,47.14,1:15884.322;100:2347.897;200:2333.335;300:2333.333;400:2333.333;500:2333.333
SHADE,F23,2400.0,0.0,1:12253.037;100:2405.213;200:2400.001;300:2400.0;400:2400.0;500:2400.0
SHADE,F24,2913.277,26.999,1:4130.103;100:2916.966;200:2913.638;300:2913.417;400:2913.32;500:2913.277
SHADE,F25,2780.048,287.384,1:6369.33;100:2821.994;200:2780.066;300:2780.048;400:2780.048;500:2780.048
SHADE,F26,3064.062,132.575,1:5195.887;100:3196.812;200:3065.462;300:3064.066;400:3064.062;500:3064.062
SHADE,F27,2700.0,0.0,1:5093.233;100:2738.675;200:2700.007;300:2700.0;400:2700.0;500:2700.0
SHADE,F28,4397.992,3354.366,1:1.3602934507019838e+16;100:10055.857;200:4903.282;300:4693.155;400:4419.522;500:4397.992
SHADE,F29,4862.893,1899.236,1:6082220055029108.0;100:37181.957;200:11915.701;300:8375.585;400:6175.838;500:4862.893
ILSHADE,F1,100.0,0.0,1:28608459915.476;100:36585.531;200:112.353;300:100.0;400:100.0;500:100.0;600:100.0;700:100.0;800:100.0;900:100.0;1000:100.0;1100:100.0;1200:100.0;1300:100.0;1400:100.0;1500:100.0;1600:100.0
ILSHADE,F2,200.0,0.0,1:2684080.115;100:200.016;200:200.0;300:200.0;400:200.0;500:200.0;600:200.0;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0;1600:200.0
ILSHADE,F3,303.455,1.355,1:2454.5;100:303.829;200:303.565;300:303.512;400:303.504;500:303.487;600:303.466;700:303.456;800:303.455;900:303.455;1000:303.455;1100:303.455;1200:303.455;1300:303.455;1400:303.455;1500:303.455;1600:303.455
ILSHADE,F4,402.91,1.398,1:20990.786;100:444.086;200:421.456;300:413.47;400:409.9;500:408.183;600:406.823;700:406.116;800:405.458;900:404.785;1000:404.381;1100:404.144;1200:403.948;1300:403.68;1400:403.327;1500:403.028;1600:402.925
ILSHADE,F5,500.0,0.0,1:500.014;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0;600:500.0;700:500.0;800:500.0;900:500.0;1000:500.0;1100:500.0;1200:500.0;1300:500.0;1400:500.0;1500:500.0;1600:500.0
ILSHADE,F6,613.064,1.03,1:608200.736;100:661.719;200:634.466;300:623.772;400:620.174;500:618.5;600:617.073;700:616.266;800:615.62;900:615.02;1000:614.651;1100:614.399;1200:614.116;1300:613.955;1400:613.707;1500:613.211;1600:613.107
ILSHADE,F7,771.0,6.547,1:917.173;100:771.0;200:771.0;300:771.0;400:771.0;500:771.0;600:771.0;700:771.0;800:771.0;900:771.0;1000:771.0;1100:771.0;1200:771.0;1300:771.0;1400:771.0;1500:771.0;1600:771.0
ILSHADE,F8,802.254,0.123,1:807.432;100:802.254;200:802.254;300:802.254;400:802.254;500:802.254;600:802.254;700:802.254;800:802.254;900:802.254;1000:802.254;1100:802.254;1200:802.254;1300:802.254;1400:802.254;1500:802.254;1600:802.254
ILSHADE,F9,2616.066,233.902,1:4606.59;100:2616.067;200:2616.066;300:2616.066;400:2616.066;500:2616.066;600:2616.066;700:2616.066;800:2616.066;900:2616.066;1000:2616.066;1100:2616.066;1200:2616.066;1300:2616.066;1400:2616.066;1500:2616.066;1600:2616.066
ILSHADE,F10,1000.36,1.099,1:311124627.383;100:1127.371;200:1007.355;300:1005.243;400:1004.098;500:1003.411;600:1002.543;700:1001.841;800:1001.175;900:1000.792;1000:1000.557;1100:1000.455;1200:1000.402;1300:1000.368;1400:1000.361;1500:1000.36;1600:1000.36
ILSHADE,F11,1163.91,97.674,1:10306550885.081;100:1836.777;200:1163.939;300:1163.91;400:1163.91;500:1163.91;600:1163.91;700:1163.91;800:1163.91;900:1163.91;1000:1163.91;1100:1163.91;1200:1163.91;1300:1163.91;1400:1163.91;1500:1163.91;1600:1163.91
ILSHADE,F12,1207.317,9.536,1:8793074454.908;100:1866.967;200:1213.136;300:1210.323;400:1209.309;500:1208.837;600:1208.519;700:1208.361;800:1208.19;900:1208.042;1000:1207.921;1100:1207.777;1200:1207.701;1300:1207.58;1400:1207.458;1500:1207.337;1600:1207.318
ILSHADE,F13,1319.969,4.323,1:3143026.911;100:1378.86;200:1334.365;300:1326.646;400:1324.26;500:1322.757;600:1322.078;700:1321.672;800:1321.313;900:1321.104;1000:1320.704;1100:1320.523;1200:1320.435;1300:1320.32;1400:1320.229;1500:1320.168;1600:1320.05
ILSHADE,F14,1400.302,0.209,1:2753912711.979;100:1424.092;200:1403.45;300:1401.766;400:1401.106;500:1400.66;600:1400.453;700:1400.375;800:1400.325;900:1400.309;1000:1400.306;1100:1400.304;1200:1400.303;1300:1400.303;1400:1400.302;1500:1400.302;1600:1400.302
ILSHADE,F15,1564.982,142.319,1:7771985511.498;100:1573.879;200:1568.205;300:1567.181;400:1565.976;500:1565.327;600:1565.082;700:1565.035;800:1565.028;900:1565.007;1000:1564.993;1100:1564.99;1200:1564.984;1300:1564.983;1400:1564.982;1500:1564.982;1600:1564.982
