Algorithm,Function,Mean,Std,Convergence
LSHADE,F1,100,0,1:28539910945.544;100:2582.679;200:100.0;300:100.0;400:100.0;500:100.0;600:100.0;700:100.0;800:100.0;900:100.0;1000:100.0;1100:100.0;1200:100.0;1300:100.0;1400:100.0;1500:100.0;1600:100.0
LSHADE,F2,200,0,1:2603071.752;100:208.199;200:200.0;300:200.0;400:200.0;500:200.0;600:200.0;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0;1600:200.0
LSHADE,F3,302.392,1.953,1:2464.18;100:305.742;200:302.77;300:302.392;400:302.392;500:302.392;600:302.392;700:302.392;800:302.392;900:302.392;1000:302.392;1100:302.392;1200:302.392;1300:302.392;1400:302.392;1500:302.392;1600:302.392
LSHADE,F4,402.214,1.065,1:21036.011;100:437.875;200:415.807;300:408.757;400:406.035;500:404.483;600:403.445;700:402.949;800:402.702;900:402.528;1000:402.466;1100:402.42;1200:402.366;1300:402.345;1400:402.3;1500:402.222;1600:402.217
LSHADE,F5,500,0,1:500.012;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0;600:500.0;700:500.0;800:500.0;900:500.0;1000:500.0;1100:500.0;1200:500.0;1300:500.0;1400:500.0;1500:500.0;1600:500.0
LSHADE,F6,612.122,0.928,1:607796.9;100:654.875;200:626.923;300:618.689;400:616.234;500:614.165;600:613.537;700:613.047;800:612.83;900:612.594;1000:612.392;1100:612.311;1200:612.204;1300:612.175;1400:612.162;1500:612.144;1600:612.137
LSHADE,F7,753.2,15.237,1:922.164;100:758.01;200:754.367;300:753.432;400:753.205;500:753.201;600:753.201;700:753.201;800:753.2;900:753.2;1000:753.2;1100:753.2;1200:753.2;1300:753.2;1400:753.2;1500:753.2;1600:753.2
LSHADE,F8,801.548,0.714,1:807.444;100:801.548;200:801.548;300:801.548;400:801.548;500:801.548;600:801.548;700:801.548;800:801.548;900:801.548;1000:801.548;1100:801.548;1200:801.548;1300:801.548;1400:801.548;1500:801.548;1600:801.548
LSHADE,F9,1840.955,691.057,1:4584.412;100:2135.344;200:1979.703;300:1923.476;400:1878.246;500:1865.443;600:1853.954;700:1850.782;800:1850.225;900:1846.556;1000:1845.703;1100:1844.168;1200:1843.967;1300:1842.152;1400:1842.128;1500:1841.953;1600:1841.023
LSHADE,F10,1000.945,1.496,1:305786237.174;100:1124.916;200:1016.144;300:1013.937;400:1011.052;500:1007.232;600:1004.695;700:1003.209;800:1002.461;900:1001.791;1000:1001.387;1100:1001.099;1200:1000.983;1300:1000.955;1400:1000.948;1500:1000.945;1600:1000.945
LSHADE,F11,1149.537,99.648,1:10277983539.792;100:1719.794;200:1149.537;300:1149.537;400:1149.537;500:1149.537;600:1149.537;700:1149.537;800:1149.537;900:1149.537;1000:1149.537;1100:1149.537;1200:1149.537;1300:1149.537;1400:1149.537;1500:1149.537;1600:1149.537
