Algorithm,Function,Mean,Std,Convergence
LSHADE,F1,100,0,1:82493958918.321;100:28316640.868;200:45554.309;300:2483.611;400:2397.466;500:1686.789;600:459.898;700:122.458;800:103.239;900:100.589;1000:100.066;1100:100.018;1200:100.004;1300:100.0;1400:100.0;1500:100.0;1600:100.0;1700:100.0;1800:100.0;1900:100.0;2000:100.0;2100:100.0;2200:100.0;2300:100.0;2400:100.0;2500:100.0;2600:100.0;2700:100.0;2800:100.0;2900:100.0;3000:100.0;3100:100.0;3200:100.0;3300:100.0;3400:100.0;3500:100.0;3600:100.0;3700:100.0;3800:100.0;3900:100.0;4000:100.0;4100:100.0;4200:100.0;4300:100.0;4400:100.0;4500:100.0;4600:100.0;4700:100.0;4800:100.0;4900:100.0;5000:100.0
LSHADE,F2,200,0,1:50182929.53;100:2999.796;200:207.836;300:200.088;400:200.0;500:200.0;600:200.0;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0;1600:200.0;1700:200.0;1800:200.0;1900:200.0;2000:200.0;2100:200.0;2200:200.0;2300:200.0;2400:200.0;2500:200.0;2600:200.0;2700:200.0;2800:200.0;2900:200.0;3000:200.0;3100:200.0;3200:200.0;3300:200.0;3400:200.0;3500:200.0;3600:200.0;3700:200.0;3800:200.0;3900:200.0;4000:200.0;4100:200.0;4200:200.0;4300:200.0;4400:200.0;4500:200.0;4600:200.0;4700:200.0;4800:200.0;4900:200.0;5000:200.0
LSHADE,F3,328.108,20.284,1:35355.79;100:392.653;200:363.241;300:355.74;400:350.542;500:348.959;600:348.135;700:347.458;800:342.622;900:336.879;1000:334.745;1100:330.492;1200:328.852;1300:328.621;1400:328.55;1500:328.497;1600:328.457;1700:328.417;1800:328.379;1900:328.344;2000:328.316;2100:328.288;2200:328.266;2300:328.246;2400:328.219;2500:328.195;2600:328.181;2700:328.166;2800:328.156;2900:328.148;3000:328.142;3100:328.138;3200:328.133;3300:328.13;3400:328.128;3500:328.125;3600:328.123;3700:328.121;3800:328.12;3900:328.117;4000:328.116;4100:328.114;4200:328.113;4300:328.112;4400:328.112;4500:328.111;4600:328.111;4700:328.109;4800:328.108;4900:328.108;5000:328.108
LSHADE,F4,446.057,10.01,1:121970.223;100:684.421;200:604.64;300:561.393;400:532.363;500:513.408;600:498.653;700:486.635;800:479.149;900:473.737;1000:470.72;1100:466.801;1200:464.078;1300:461.215;1400:458.63;1500:457.774;1600:455.87;1700:454.658;1800:453.32;1900:452.699;2000:451.686;2100:451.09;2200:450.527;2300:450.011;2400:449.571;2500:449.132;2600:448.874;2700:448.614;2800:448.318;2900:448.166;3000:447.961;3100:447.68;3200:447.398;3300:447.221;3400:447.098;3500:447.031;3600:446.955;3700:446.85;3800:446.804;3900:446.72;4000:446.575;4100:446.427;4200:446.405;4300:446.289;4400:446.241;4500:446.215;4600:446.16;4700:446.12;4800:446.096;4900:446.08;5000:446.06
LSHADE,F5,500,0,1:500.211;100:500.005;200:500.002;300:500.001;400:500.0;500:500.0;600:500.0;700:500.0;800:500.0;900:500.0;1000:500.0;1100:500.0;1200:500.0;1300:500.0;1400:500.0;1500:500.0;1600:500.0;1700:500.0;1800:500.0;1900:500.0;2000:500.0;2100:500.0;2200:500.0;2300:500.0;2400:500.0;2500:500.0;2600:500.0;2700:500.0;2800:500.0;2900:500.0;3000:500.0;3100:500.0;3200:500.0;3300:500.0;3400:500.0;3500:500.0;3600:500.0;3700:500.0;3800:500.0;3900:500.0;4000:500.0;4100:500.0;4200:500.0;4300:500.0;4400:500.0;4500:500.0;4600:500.0;4700:500.0;4800:500.0;4900:500.0;5000:500.0
LSHADE,F6,689.737,26.553,1:4019523.447;100:1790.026;200:890.874;300:829.095;400:794.754;500:770.725;600:753.564;700:741.554;800:732.04;900:724.438;1000:720.396;1100:715.566;1200:712.356;1300:708.85;1400:707.023;1500:705.015;1600:704.014;1700:702.098;1800:700.953;1900:699.429;2000:698.257;2100:697.192;2200:696.059;2300:695.724;2400:695.112;2500:694.615;2600:694.198;2700:693.704;2800:693.465;2900:692.603;3000:692.435;3100:692.267;3200:691.945;3300:691.515;3400:691.13;3500:690.949;3600:690.809;3700:690.686;3800:690.458;3900:690.406;4000:690.273;4100:690.192;4200:690.138;4300:690.028;4400:689.978;4500:689.952;4600:689.918;4700:689.881;4800:689.83;4900:689.797;5000:689.74
LSHADE,F7,1168.45,14.291,1:1509.752;100:1168.451;200:1168.45;300:1168.45;400:1168.45;500:1168.45;600:1168.45;700:1168.45;800:1168.45;900:1168.45;1000:1168.45;1100:1168.45;1200:1168.45;1300:1168.45;1400:1168.45;1500:1168.45;1600:1168.45;1700:1168.45;1800:1168.45;1900:1168.45;2000:1168.45;2100:1168.45;2200:1168.45;2300:1168.45;2400:1168.45;2500:1168.45;2600:1168.45;2700:1168.45;2800:1168.45;2900:1168.45;3000:1168.45;3100:1168.45;3200:1168.45;3300:1168.45;3400:1168.45;3500:1168.45;3600:1168.45;3700:1168.45;3800:1168.45;3900:1168.45;4000:1168.45;4100:1168.45;4200:1168.45;4300:1168.45;4400:1168.45;4500:1168.45;4600:1168.45;4700:1168.45;4800:1168.45;4900:1168.45;5000:1168.45
LSHADE,F8,810.366,0.689,1:859.865;100:810.552;200:810.371;300:810.367;400:810.367;500:810.366;600:810.366;700:810.366;800:810.366;900:810.366;1000:810.366;1100:810.366;1200:810.366;1300:810.366;1400:810.366;1500:810.366;1600:810.366;1700:810.366;1800:810.366;1900:810.366;2000:810.366;2100:810.366;2200:810.366;2300:810.366;2400:810.366;2500:810.366;2600:810.366;2700:810.366;2800:810.366;2900:810.366;3000:810.366;3100:810.366;3200:810.366;3300:810.366;3400:810.366;3500:810.366;3600:810.366;3700:810.366;3800:810.366;3900:810.366;4000:810.366;4100:810.366;4200:810.366;4300:810.366;4400:810.366;4500:810.366;4600:810.366;4700:810.366;4800:810.366;4900:810.366;5000:810.366
LSHADE,F9,5005.23,118.556,1:9553.167;100:5011.785;200:5005.69;300:5005.323;400:5005.264;500:5005.246;600:5005.241;700:5005.239;800:5005.238;900:5005.236;1000:5005.235;1100:5005.234;1200:5005.233;1300:5005.233;1400:5005.232;1500:5005.231;1600:5005.231;1700:5005.231;1800:5005.231;1900:5005.23;2000:5005.23;2100:5005.23;2200:5005.23;2300:5005.23;2400:5005.23;2500:5005.23;2600:5005.23;2700:5005.23;2800:5005.23;2900:5005.23;3000:5005.23;3100:5005.23;3200:5005.23;3300:5005.23;3400:5005.23;3500:5005.23;3600:5005.23;3700:5005.23;3800:5005.23;3900:5005.23;4000:5005.23;4100:5005.23;4200:5005.23;4300:5005.23;4400:5005.23;4500:5005.23;4600:5005.23;4700:5005.23;4800:5005.23;4900:5005.23;5000:5005.23
LSHADE,F10,1753.788,564.854,1:21983644881.659;100:43301.066;200:8498.378;300:4027.61;400:2461.437;500:2053.072;600:1931.747;700:1820.223;800:1788.164;900:1768.537;1000:1762.283;1100:1758.783;1200:1757.265;1300:1756.652;1400:1756.328;1500:1755.741;1600:1755.246;1700:1754.992;1800:1754.858;1900:1754.742;2000:1754.651;2100:1754.521;2200:1754.423;2300:1754.358;2400:1754.282;2500:1754.239;2600:1754.209;2700:1754.148;2800:1754.086;2900:1754.003;3000:1753.965;3100:1753.906;3200:1753.879;3300:1753.86;3400:1753.855;3500:1753.841;3600:1753.833;3700:1753.83;3800:1753.823;3900:1753.819;4000:1753.813;4100:1753.806;4200:1753.804;4300:1753.801;4400:1753.798;4500:1753.795;4600:1753.794;4700:1753.794;4800:1753.789;4900:1753.789;5000:1753.788
LSHADE,F11,4334.131,1909.619,1:31814799438.863;100:856762000.572;200:778243807.312;300:699590022.208;400:13884315.763;500:12612.445;600:6620.805;700:5294.006;800:4990.649;900:4861.455;1000:4804.854;1100:4777.49;1200:4743.807;1300:4727.25;1400:4677.949;1500:4644.826;1600:4606.832;1700:4510.283;1800:4487.409;1900:4477.55;2000:4464.237;2100:4455.864;2200:4449.804;2300:4444.31;2400:4434.306;2500:4425.37;2600:4407.985;2700:4370.223;2800:4345.498;2900:4338.17;3000:4336.067;3100:4335.564;3200:4335.079;3300:4334.745;3400:4334.495;3500:4334.393;3600:4334.305;3700:4334.271;3800:4334.229;3900:4334.207;4000:4334.184;4100:4334.164;4200:4334.154;4300:4334.144;4400:4334.138;4500:4334.135;4600:4334.135;4700:4334.134;4800:4334.134;4900:4334.132;5000:4334.131
