Algorithm,Function,Mean,Std,Convergence
LSHADE,F1,2751.882,4141.059,1:132698807484.723;100:1905908935.309;200:72340670.918;300:4115250.872;400:193157.218;500:8139.777;600:2999.31;700:2769.998;800:2753.493;900:2752.645;1000:2752.555;1100:2752.486;1200:2752.441;1300:2752.409;1400:2752.388;1500:2752.36;1600:2752.329;1700:2752.312;1800:2752.298;1900:2752.285;2000:2752.267;2100:2752.242;2200:2752.222;2300:2752.201;2400:2752.175;2500:2752.127;2600:2752.108;2700:2752.091;2800:2752.068;2900:2752.047;3000:2752.027;3100:2752.009;3200:2751.999;3300:2751.987;3400:2751.98;3500:2751.974;3600:2751.969;3700:2751.96;3800:2751.954;3900:2751.948;4000:2751.941;4100:2751.936;4200:2751.932;4300:2751.929;4400:2751.926;4500:2751.918;4600:2751.912;4700:2751.908;4800:2751.905;4900:2751.902;5000:2751.9;5100:2751.899;5200:2751.894;5300:2751.894;5400:2751.891;5500:2751.89;5600:2751.889;5700:2751.887;5800:2751.887;5900:2751.886;6000:2751.886;6100:2751.886;6200:2751.885;6300:2751.885;6400:2751.884;6500:2751.883;6600:2751.883;6700:2751.883;6800:2751.883;6900:2751.882;7000:2751.882;7100:2751.882;7200:2751.882;7300:2751.882;7400:2751.882;7500:2751.882;7600:2751.882;7700:2751.882;7800:2751.882;7900:2751.882;8000:2751.882;8100:2751.882;8200:2751.882;8300:2751.882
LSHADE,F2,200,0,1:6047186.485;100:57610.022;200:32722.147;300:28315.318;400:25189.347;500:14307.311;600:13869.774;700:13829.792;800:13824.751;900:13824.295;1000:13626.97;1100:13337.43;1200:12007.553;1300:12007.553;1400:12007.553;1500:12007.553;1600:12007.553;1700:12007.553;1800:12007.553;1900:12007.553;2000:12007.553;2100:12007.553;2200:12007.553;2300:12007.553;2400:12007.553;2500:1630.022;2600:658.34;2700:407.331;2800:276.419;2900:231.978;3000:214.971;3100:203.618;3200:200.905;3300:200.337;3400:200.123;3500:200.06;3600:200.041;3700:200.025;3800:200.006;3900:200.003;4000:200.002;4100:200.001;4200:200.001;4300:200.001;4400:200.001;4500:200.001;4600:200.0;4700:200.0;4800:200.0;4900:200.0;5000:200.0;5100:200.0;5200:200.0;5300:200.0;5400:200.0;5500:200.0;5600:200.0;5700:200.0;5800:200.0;5900:200.0;6000:200.0;6100:200.0;6200:200.0;6300:200.0;6400:200.0;6500:200.0;6600:200.0;6700:200.0;6800:200.0;6900:200.0;7000:200.0;7100:200.0;7200:200.0;7300:200.0;7400:200.0;7500:200.0;7600:200.0;7700:200.0;7800:200.0;7900:200.0;8000:200.0;8100:200.0;8200:200.0;8300:200.0
LSHADE,F3,418.376,42.869,1:57757.625;100:734.713;200:526.631;300:479.763;400:467.168;500:459.096;600:452.382;700:445.019;800:441.179;900:439.898;1000:439.137;1100:438.682;1200:438.056;1300:435.319;1400:428.786;1500:427.278;1600:426.731;1700:426.454;1800:426.254;1900:426.06;2000:425.799;2100:425.359;2200:425.175;2300:425.043;2400:424.918;2500:424.823;2600:424.744;2700:424.673;2800:424.553;2900:424.435;3000:424.354;3100:424.269;3200:424.026;3300:422.765;3400:422.25;3500:421.963;3600:421.406;3700:419.853;3800:419.384;3900:419.162;4000:418.986;4100:418.848;4200:418.788;4300:418.728;4400:418.68;4500:418.654;4600:418.636;4700:418.62;4800:418.605;4900:418.575;5000:418.534;5100:418.512;5200:418.497;5300:418.489;5400:418.482;5500:418.472;5600:418.462;5700:418.453;5800:418.446;5900:418.44;6000:418.436;6100:418.431;6200:418.428;6300:418.425;6400:418.422;6500:418.42;6600:418.417;6700:418.415;6800:418.414;6900:418.393;7000:418.391;7100:418.389;7200:418.387;7300:418.385;7400:418.383;7500:418.382;7600:418.381;7700:418.38;7800:418.379;7900:418.378;8000:418.378;8100:418.377;8200:418.377;8300:418.376
LSHADE,F4,574.467,58.882,1:137888.129;100:3287.049;200:978.953;300:875.739;400:824.748;500:776.377;600:743.683;700:721.173;800:702.745;900:686.456;1000:673.394;1100:660.925;1200:648.588;1300:641.248;1400:633.706;1500:628.769;1600:623.78;1700:619.013;1800:615.611;1900:613.601;2000:610.684;2100:608.933;2200:606.39;2300:604.196;2400:602.143;2500:600.899;2600:598.833;2700:597.649;2800:595.683;2900:594.398;3000:593.233;3100:591.575;3200:590.143;3300:589.232;3400:587.792;3500:586.885;3600:586.279;3700:585.438;3800:584.92;3900:584.015;4000:583.324;4100:582.225;4200:581.461;4300:580.678;4400:580.329;4500:579.773;4600:579.338;4700:578.823;4800:578.528;4900:578.313;5000:578.041;5100:577.914;5200:577.734;5300:577.51;5400:577.374;5500:577.167;5600:576.969;5700:576.787;5800:576.668;5900:576.373;6000:576.316;6100:576.228;6200:576.129;6300:575.89;6400:575.824;6500:575.589;6600:575.528;6700:575.42;6800:575.3;6900:575.258;7000:575.159;7100:575.088;7200:575.004;7300:574.981;7400:574.931;7500:574.871;7600:574.845;7700:574.826;7800:574.751;7900:574.7;8000:574.657;8100:574.628;8200:574.608;8300:574.503
LSHADE,F5,500,0,1:500.109;100:500.007;200:500.002;300:500.001;400:500.001;500:500.001;600:500.001;700:500.001;800:500.001;900:500.001;1000:500.0;1100:500.0;1200:500.0;1300:500.0;1400:500.0;1500:500.0;1600:500.0;1700:500.0;1800:500.0;1900:500.0;2000:500.0;2100:500.0;2200:500.0;2300:500.0;2400:500.0;2500:500.0;2600:500.0;2700:500.0;2800:500.0;2900:500.0;3000:500.0;3100:500.0;3200:500.0;3300:500.0;3400:500.0;3500:500.0;3600:500.0;3700:500.0;3800:500.0;3900:500.0;4000:500.0;4100:500.0;4200:500.0;4300:500.0;4400:500.0;4500:500.0;4600:500.0;4700:500.0;4800:500.0;4900:500.0;5000:500.0;5100:500.0;5200:500.0;5300:500.0;5400:500.0;5500:500.0;5600:500.0;5700:500.0;5800:500.0;5900:500.0;6000:500.0;6100:500.0;6200:500.0;6300:500.0;6400:500.0;6500:500.0;6600:500.0;6700:500.0;6800:500.0;6900:500.0;7000:500.0;7100:500.0;7200:500.0;7300:500.0;7400:500.0;7500:500.0;7600:500.0;7700:500.0;7800:500.0;7900:500.0;8000:500.0;8100:500.0;8200:500.0;8300:500.0
LSHADE,F6,853.023,56.199,1:8429033.126;100:65057.076;200:4559.836;300:1665.538;400:1193.322;500:1113.643;600:1077.956;700:1044.203;800:1008.352;900:989.104;1000:973.639;1100:958.626;1200:947.481;1300:936.563;1400:923.98;1500:919.283;1600:912.246;1700:907.705;1800:901.825;1900:898.367;2000:893.827;2100:890.085;2200:887.315;2300:885.362;2400:882.766;2500:880.54;2600:877.544;2700:876.163;2800:874.453;2900:872.963;3000:871.37;3100:869.846;3200:869.011;3300:867.447;3400:866.456;3500:865.968;3600:865.146;3700:864.574;3800:864.228;3900:863.636;4000:862.761;4100:862.271;4200:861.721;4300:861.082;4400:860.803;4500:860.398;4600:859.944;4700:859.709;4800:859.493;4900:859.078;5000:858.762;5100:858.588;5200:858.17;5300:857.851;5400:857.452;5500:857.209;5600:857.057;5700:856.618;5800:856.308;5900:855.992;6000:855.745;6100:855.639;6200:855.342;6300:855.169;6400:854.964;6500:854.744;6600:854.569;6700:854.468;6800:854.382;6900:854.294;7000:854.234;7100:854.141;7200:853.972;7300:853.842;7400:853.722;7500:853.58;7600:853.474;7700:853.418;7800:853.349;7900:853.279;8000:853.24;8100:853.208;8200:853.158;8300:853.113
LSHADE,F7,1413.934,259.759,1:2553.274;100:1557.892;200:1509.868;300:1486.961;400:1477.317;500:1473.021;600:1459.682;700:1453.794;800:1445.517;900:1441.046;1000:1439.984;1100:1439.502;1200:1435.25;1300:1432.203;1400:1430.761;1500:1429.131;1600:1427.255;1700:1423.852;1800:1422.811;1900:1421.468;2000:1420.27;2100:1419.266;2200:1418.982;2300:1418.777;2400:1418.206;2500:1417.917;2600:1416.714;2700:1416.352;2800:1416.047;2900:1416.038;3000:1416.03;3100:1415.995;3200:1415.966;3300:1415.964;3400:1415.958;3500:1415.948;3600:1415.947;3700:1415.928;3800:1415.926;3900:1415.925;4000:1415.925;4100:1415.925;4200:1415.925;4300:1415.921;4400:1415.921;4500:1415.917;4600:1415.916;4700:1415.915;4800:1415.915;4900:1415.914;5000:1415.914;5100:1415.912;5200:1415.912;5300:1415.912;5400:1415.912;5500:1415.912;5600:1415.911;5700:1415.911;5800:1415.911;5900:1415.911;6000:1415.769;6100:1415.691;6200:1415.674;6300:1415.494;6400:1415.011;6500:1414.928;6600:1414.783;6700:1414.762;6800:1414.677;6900:1414.665;7000:1414.602;7100:1414.602;7200:1414.542;7300:1414.499;7400:1414.476;7500:1414.464;7600:1414.391;7700:1414.332;7800:1414.331;7900:1414.106;8000:1414.055;8100:1414.051;8200:1414.028;8300:1413.983
LSHADE,F8,817.018,6.802,1:952.604;100:819.11;200:817.429;300:817.197;400:817.149;500:817.125;600:817.11;700:817.086;800:817.061;900:817.048;1000:817.043;1100:817.042;1200:817.038;1300:817.023;1400:817.02;1500:817.019;1600:817.019;1700:817.018;1800:817.018;1900:817.018;2000:817.018;2100:817.018;2200:817.018;2300:817.018;2400:817.018;2500:817.018;2600:817.018;2700:817.018;2800:817.018;2900:817.018;3000:817.018;3100:817.018;3200:817.018;3300:817.018;3400:817.018;3500:817.018;3600:817.018;3700:817.018;3800:817.018;3900:817.018;4000:817.018;4100:817.018;4200:817.018;4300:817.018;4400:817.018;4500:817.018;4600:817.018;4700:817.018;4800:817.018;4900:817.018;5000:817.018;5100:817.018;5200:817.018;5300:817.018;5400:817.018;5500:817.018;5600:817.018;5700:817.018;5800:817.018;5900:817.018;6000:817.018;6100:817.018;6200:817.018;6300:817.018;6400:817.018;6500:817.018;6600:817.018;6700:817.018;6800:817.018;6900:817.018;7000:817.018;7100:817.018;7200:817.018;7300:817.018;7400:817.018;7500:817.018;7600:817.018;7700:817.018;7800:817.018;7900:817.018;8000:817.018;8100:817.018;8200:817.018;8300:817.018
LSHADE,F9,9434.775,245.261,1:18482.917;100:10028.647;200:9853.694;300:9797.149;400:9712.464;500:9711.339;600:9710.88;700:9710.722;800:9710.665;900:9647.009;1000:9635.871;1100:9615.54;1200:9615.515;1300:9615.473;1400:9615.44;1500:9615.429;1600:9615.423;1700:9615.418;1800:9615.415;1900:9615.41;2000:9615.404;2100:9615.399;2200:9615.386;2300:9615.376;2400:9615.371;2500:9615.364;2600:9615.359;2700:9615.353;2800:9615.333;2900:9615.322;3000:9615.313;3100:9615.308;3200:9583.953;3300:9583.947;3400:9583.944;3500:9583.944;3600:9583.943;3700:9578.828;3800:9578.828;3900:9578.828;4000:9571.752;4100:9571.751;4200:9571.751;4300:9571.751;4400:9571.751;4500:9571.751;4600:9542.725;4700:9542.725;4800:9542.725;4900:9542.725;5000:9542.725;5100:9542.725;5200:9542.725;5300:9541.374;5400:9541.374;5500:9541.374;5600:9541.374;5700:9541.374;5800:9541.374;5900:9541.374;6000:9502.88;6100:9502.88;6200:9502.88;6300:9502.88;6400:9502.88;6500:9502.88;6600:9502.88;6700:9502.88;6800:9453.187;6900:9449.034;7000:9449.034;7100:9449.034;7200:9449.034;7300:9434.775;7400:9434.775;7500:9434.775;7600:9434.775;7700:9434.775;7800:9434.775;7900:9434.775;8000:9434.775;8100:9434.775;8200:9434.775;8300:9434.775
LSHADE,F10,3615.807,2877.644,1:54920109270.596;100:33301365.499;200:30956.927;300:13985.495;400:9788.49;500:8284.044;600:7529.023;700:6411.395;800:5712.812;900:5384.51;1000:5050.016;1100:4771.05;1200:4665.477;1300:4613.52;1400:4525.969;1500:4381.131;1600:3983.388;1700:3925.404;1800:3895.974;1900:3872.391;2000:3851.267;2100:3838.223;2200:3810.401;2300:3795.559;2400:3774.662;2500:3766.955;2600:3748.177;2700:3714.976;2800:3707.254;2900:3702.547;3000:3690.5;3100:3685.078;3200:3675.563;3300:3671.518;3400:3668.176;3500:3660.847;3600:3656.567;3700:3653.924;3800:3652.263;3900:3650.326;4000:3648.156;4100:3647.049;4200:3646.297;4300:3634.624;4400:3631.634;4500:3630.545;4600:3630.289;4700:3630.073;4800:3629.871;4900:3629.72;5000:3629.44;5100:3628.177;5200:3627.018;5300:3626.475;5400:3625.859;5500:3625.395;5600:3622.893;5700:3617.724;5800:3616.813;5900:3616.465;6000:3616.366;6100:3616.342;6200:3616.32;6300:3616.303;6400:3616.275;6500:3616.253;6600:3616.24;6700:3616.227;6800:3616.197;6900:3616.182;7000:3616.176;7100:3616.138;7200:3616.132;7300:3616.122;7400:3616.12;7500:3616.12;7600:3616.119;7700:3616.119;7800:3616.118;7900:3616.104;8000:3616.101;8100:3616.083;8200:3615.815;8300:3615.808
