Function,Mean,Std,Convergence
F1,1589584.511,754924.23,0:15001725039.4;100:404503840.4;200:193451579.6;300:125792407.6;400:87567799.4;500:67056857.2;600:52054476.6;700:40785589.8;800:31726100.6;900:25894406.8;1000:22017791.4;1100:18769979.4;1200:16104132.8;1300:14463624.8;1400:12750641.4;1500:11538122.2;1600:10506315.8;1700:9696891.0;1800:8789251.6;1900:7858577.2;2000:7090841.0;2100:6423487.0;2200:5817415.0;2300:5342812.2;2400:4884296.6;2500:4482128.8;2600:4155118.0;2700:3899469.0;2800:3727356.6;2900:3565345.4;3000:3420451.6;3100:3292208.4;3200:3155650.8;3300:3047987.2;3400:2955864.6;3500:2845141.8;3600:2766438.8;3700:2678321.0;3800:2496460.2;3900:2380927.6;4000:2304416.2;4100:2235615.6;4200:2154153.4;4300:2046690.4;4400:1934025.0;4500:1873810.8;4600:1826084.2;4700:1755299.4;4800:1672625.4;4900:1626246.4;5000:1589584.6
F2,26743.438,15927.227,0:525505817347.6;100:20919930393.4;200:4949547138.4;300:1274912367.8;400:295185749.8;500:84096234.2;600:26953372.2;700:8123025.0;800:3345385.4;900:639647.2;1000:177354.8;1100:64078.8;1200:37993.0;1300:29648.6;1400:27295.6;1500:26837.4;1600:26774.4;1700:26759.4;1800:26754.6;1900:26753.8;2000:26753.4;2100:26753.2;2200:26753.0;2300:26752.6;2400:26752.4;2500:26752.4;2600:26751.6;2700:26751.6;2800:26751.0;2900:26750.6;3000:26750.2;3100:26750.0;3200:26749.6;3300:26749.0;3400:26749.0;3500:26748.6;3600:26748.2;3700:26747.8;3800:26747.2;3900:26747.2;4000:26746.6;4100:26746.4;4200:26746.2;4300:26745.6;4400:26745.4;4500:26745.2;4600:26745.2;4700:26744.8;4800:26744.4;4900:26744.0;5000:26743.4
F3,1945.024,1997.004,0:945468.4;100:174668.6;200:96418.0;300:53960.4;400:36325.6;500:26587.6;600:20773.2;700:17322.4;800:15194.2;900:14105.0;1000:13233.8;1100:12222.0;1200:11374.4;1300:10775.2;1400:9362.6;1500:7865.2;1600:7095.2;1700:6449.0;1800:5886.8;1900:5440.2;2000:5045.4;2100:4864.2;2200:4795.4;2300:4658.6;2400:4533.8;2500:4385.8;2600:3967.2;2700:3714.8;2800:3535.4;2900:3456.2;3000:3398.2;3100:3330.8;3200:3261.0;3300:3202.2;3400:3138.0;3500:3076.6;3600:3011.6;3700:2907.8;3800:2817.2;3900:2759.2;4000:2715.4;4100:2503.8;4200:2373.8;4300:2336.8;4400:2305.4;4500:2290.2;4600:2263.6;4700:2202.8;4800:2047.2;4900:2005.2;5000:1945.0
F4,633.775,80.101,0:217620.0;100:2818.6;200:1260.2;300:979.8;400:898.4;500:850.8;600:820.0;700:797.8;800:779.0;900:763.6;1000:750.2;1100:741.4;1200:737.6;1300:734.4;1400:729.4;1500:724.0;1600:719.4;1700:715.0;1800:708.4;1900:701.2;2000:697.6;2100:695.2;2200:692.8;2300:690.6;2400:687.4;2500:685.0;2600:683.2;2700:680.6;2800:676.0;2900:669.6;3000:665.6;3100:663.0;3200:661.2;3300:659.8;3400:658.4;3500:657.2;3600:655.6;3700:653.4;3800:650.6;3900:648.2;4000:647.4;4100:646.6;4200:646.0;4300:645.4;4400:644.8;4500:644.2;4600:643.8;4700:643.0;4800:641.2;4900:638.0;5000:633.8
F5,520.54,0.279,0:521.8;100:521.0;200:521.0;300:521.0;400:521.0;500:521.0;600:521.0;700:521.0;800:521.0;900:521.0;1000:521.0;1100:521.0;1200:521.0;1300:520.8;1400:520.8;1500:520.8;1600:520.8;1700:520.8;1800:520.8;1900:520.8;2000:520.8;2100:520.8;2200:520.8;2300:520.8;2400:520.8;2500:520.8;2600:520.8;2700:520.8;2800:520.8;2900:520.8;3000:520.8;3100:520.8;3200:520.8;3300:520.8;3400:520.8;3500:520.8;3600:520.8;3700:520.8;3800:520.8;3900:520.8;4000:520.8;4100:520.8;4200:520.8;4300:520.8;4400:520.8;4500:520.8;4600:520.8;4700:520.8;4800:520.8;4900:520.8;5000:520.8
F6,638.824,4.361,0:773.0;100:713.0;200:668.6;300:650.4;400:643.6;500:640.4;600:639.4;700:639.0;800:638.8;900:638.8;1000:638.8;1100:638.8;1200:638.8;1300:638.8;1400:638.8;1500:638.8;1600:638.8;1700:638.8;1800:638.8;1900:638.8;2000:638.8;2100:638.8;2200:638.8;2300:638.8;2400:638.8;2500:638.8;2600:638.8;2700:638.8;2800:638.8;2900:638.8;3000:638.8;3100:638.8;3200:638.8;3300:638.8;3400:638.8;3500:638.8;3600:638.8;3700:638.8;3800:638.8;3900:638.8;4000:638.8;4100:638.8;4200:638.8;4300:638.8;4400:638.8;4500:638.8;4600:638.8;4700:638.8;4800:638.8;4900:638.8;5000:638.8
F7,700.003,0.006,0:5773.8;100:831.2;200:716.6;300:703.0;400:701.0;500:701.0;600:700.0;700:700.0;800:700.0;900:700.0;1000:700.0;1100:700.0;1200:700.0;1300:700.0;1400:700.0;1500:700.0;1600:700.0;1700:700.0;1800:700.0;1900:700.0;2000:700.0;2100:700.0;2200:700.0;2300:700.0;2400:700.0;2500:700.0;2600:700.0;2700:700.0;2800:700.0;2900:700.0;3000:700.0;3100:700.0;3200:700.0;3300:700.0;3400:700.0;3500:700.0;3600:700.0;3700:700.0;3800:700.0;3900:700.0;4000:700.0;4100:700.0;4200:700.0;4300:700.0;4400:700.0;4500:700.0;4600:700.0;4700:700.0;4800:700.0;4900:700.0;5000:700.0
F8,1309.98,38.832,0:2764.4;100:1762.0;200:1674.8;300:1646.6;400:1621.0;500:1606.6;600:1590.8;700:1583.6;800:1576.2;900:1560.8;1000:1535.2;1100:1512.0;1200:1509.4;1300:1505.2;1400:1505.2;1500:1505.2;1600:1489.0;1700:1489.0;1800:1489.0;1900:1470.2;2000:1460.4;2100:1456.2;2200:1452.0;2300:1452.0;2400:1448.2;2500:1437.4;2600:1437.4;2700:1433.0;2800:1433.0;2900:1425.0;3000:1423.2;3100:1405.6;3200:1402.0;3300:1399.4;3400:1399.4;3500:1397.6;3600:1397.6;3700:1385.0;3800:1380.8;3900:1373.8;4000:1373.8;4100:1361.4;4200:1361.4;4300:1360.2;4400:1348.4;4500:1346.2;4600:1336.6;4700:1332.0;4800:1315.6;4900:1310.0;5000:1310.0
F9,1719.125,17.648,0:3281.8;100:1964.4;200:1896.4;300:1878.6;400:1826.4;500:1804.0;600:1793.8;700:1793.8;800:1783.6;900:1783.6;1000:1779.2;1100:1779.2;1200:1779.2;1300:1775.2;1400:1773.6;1500:1770.6;1600:1770.6;1700:1766.2;1800:1766.2;1900:1762.2;2000:1762.2;2100:1762.2;2200:1753.6;2300:1750.8;2400:1745.4;2500:1745.4;2600:1745.4;2700:1738.6;2800:1736.8;2900:1735.0;3000:1732.8;3100:1732.8;3200:1732.8;3300:1732.8;3400:1732.8;3500:1732.0;3600:1732.0;3700:1732.0;3800:1732.0;3900:1732.0;4000:1732.0;4100:1732.0;4200:1727.6;4300:1727.6;4400:1727.2;4500:1726.4;4600:1719.2;4700:1719.2;4800:1719.2;4900:1719.2;5000:1719.2
F10,22076.708,1053.55,0:36100.0;100:30191.0;200:29142.6;300:28372.0;400:27709.6;500:26939.4;600:26917.8;700:26802.6;800:26629.8;900:26490.6;1000:26412.6;1100:26340.8;1200:26230.8;1300:25746.2;1400:25418.0;1500:25389.4;1600:25389.4;1700:25389.4;1800:25389.4;1900:25198.6;2000:25194.2;2100:24899.6;2200:24709.2;2300:24545.6;2400:24369.8;2500:24275.8;2600:24275.8;2700:24208.4;2800:24208.4;2900:24205.0;3000:24030.0;3100:23966.2;3200:23948.6;3300:23500.2;3400:23376.8;3500:23376.8;3600:23265.2;3700:23265.2;3800:22951.4;3900:22773.8;4000:22773.8;4100:22608.0;4200:22608.0;4300:22608.0;4400:22317.2;4500:22260.4;4600:22260.4;4700:22088.6;4800:22088.6;4900:22088.6;5000:22076.6
F11,30614.532,345.943,0:36158.8;100:33568.8;200:32422.2;300:32406.4;400:32308.0;500:32185.4;600:32000.8;700:31987.0;800:31987.0;900:31801.2;1000:31801.2;1100:31801.2;1200:31687.6;1300:31687.6;1400:31376.0;1500:31376.0;1600:31376.0;1700:31376.0;1800:31376.0;1900:31376.0;2000:31225.2;2100:31225.2;2200:31225.2;2300:31160.4;2400:31160.4;2500:31160.4;2600:31160.4;2700:31160.4;2800:31160.4;2900:31160.4;3000:31160.4;3100:31160.4;3200:30937.8;3300:30772.6;3400:30772.6;3500:30772.6;3600:30772.6;3700:30772.6;3800:30772.6;3900:30772.6;4000:30772.6;4100:30772.6;4200:30772.6;4300:30772.6;4400:30688.6;4500:30688.6;4600:30688.6;4700:30688.6;4800:30688.6;4900:30614.4;5000:30614.4
