Function,Mean,Std,Convergence
F1,142123.592,95170.847,0:2128269150.8;100:33589554.8;200:5481064.6;300:2229692.4;400:1387200.2;500:994858.2;600:732477.8;700:558084.4;800:426425.0;900:322451.0;1000:266630.6;1100:229759.4;1200:190993.2;1300:168167.4;1400:152199.8;1500:142123.6
F2,200.0,0.0,0:109806458150.8;100:66769030.2;200:151967.8;300:4366.2;400:288.4;500:201.0;600:200.0;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0
F3,300.0,0.0,0:805667.2;100:2074.0;200:332.2;300:301.0;400:300.0;500:300.0;600:300.0;700:300.0;800:300.0;900:300.0;1000:300.0;1100:300.0;1200:300.0;1300:300.0;1400:300.0;1500:300.0
F4,400.83,1.58,0:26220.0;100:578.8;200:508.8;300:484.0;400:473.8;500:457.4;600:441.6;700:416.6;800:402.4;900:402.0;1000:401.6;1100:401.4;1200:401.0;1300:401.0;1400:400.8;1500:400.8
F5,520.967,0.028,0:521.0;100:521.0;200:521.0;300:521.0;400:521.0;500:521.0;600:521.0;700:521.0;800:521.0;900:521.0;1000:521.0;1100:521.0;1200:521.0;1300:521.0;1400:521.0;1500:521.0
F6,600.0,0.0,0:645.6;100:627.4;200:610.4;300:602.6;400:600.6;500:600.0;600:600.0;700:600.0;800:600.0;900:600.0;1000:600.0;1100:600.0;1200:600.0;1300:600.0;1400:600.0;1500:600.0
F7,700.002,0.004,0:1609.6;100:701.4;200:700.0;300:700.0;400:700.0;500:700.0;600:700.0;700:700.0;800:700.0;900:700.0;1000:700.0;1100:700.0;1200:700.0;1300:700.0;1400:700.0;1500:700.0
F8,914.09,6.482,0:1267.6;100:986.8;200:963.0;300:959.4;400:955.2;500:945.8;600:944.2;700:941.0;800:936.6;900:936.6;1000:926.8;1100:921.8;1200:919.0;1300:918.4;1400:917.2;1500:914.2
F9,1069.513,9.054,0:1430.4;100:1126.4;200:1107.8;300:1094.2;400:1089.8;500:1085.8;600:1084.8;700:1082.4;800:1081.6;900:1078.2;1000:1078.2;1100:1078.0;1200:1075.2;1300:1073.4;1400:1070.6;1500:1069.4
F10,5376.963,268.469,0:9802.6;100:7156.6;200:6982.8;300:6636.8;400:6252.6;500:6243.4;600:6137.4;700:6035.0;800:5859.0;900:5772.4;1000:5694.0;1100:5525.4;1200:5459.4;1300:5459.4;1400:5382.8;1500:5376.8
F11,7481.705,458.077,0:10100.8;100:8836.4;200:8438.4;300:8183.6;400:8174.2;500:8024.6;600:7982.4;700:7982.4;800:7955.2;900:7946.4;1000:7945.0;1100:7945.0;1200:7945.0;1300:7945.0;1400:7684.8;1500:7481.6
F13,1300.35,0.032,0:1309.2;100:1300.8;200:1300.6;300:1300.4;400:1300.4;500:1300.2;600:1300.0;700:1300.0;800:1300.0;900:1300.0;1000:1300.0;1100:1300.0;1200:1300.0;1300:1300.0;1400:1300.0;1500:1300.0
F14,1400.271,0.019,0:1751.2;100:1400.2;200:1400.0;300:1400.0;400:1400.0;500:1400.0;600:1400.0;700:1400.0;800:1400.0;900:1400.0;1000:1400.0;1100:1400.0;1200:1400.0;1300:1400.0;1400:1400.0;1500:1400.0
F15,1514.892,0.97,0:12345959.0;100:1524.4;200:1519.2;300:1518.2;400:1517.4;500:1517.0;600:1517.0;700:1516.4;800:1515.4;900:1515.4;1000:1515.4;1100:1515.4;1200:1515.4;1300:1515.2;1400:1514.8;1500:1514.8
F16,1612.285,0.168,0:1614.0;100:1613.0;200:1613.0;300:1613.0;400:1613.0;500:1613.0;600:1613.0;700:1612.6;800:1612.4;900:1612.4;1000:1612.4;1100:1612.4;1200:1612.4;1300:1612.2;1400:1612.2;1500:1612.2
F17,19159.321,18450.879,0:372934614.2;100:5042175.0;200:2033691.4;300:943780.8;400:608213.0;500:122213.2;600:83475.2;700:41181.4;800:29566.0;900:27602.0;1000:26558.6;1100:23546.2;1200:21957.6;1300:20720.6;1400:19708.8;1500:19159.2
F18,42864.445,9145.803,0:7161569328.8;100:17528896.6;200:4099912.2;300:570310.8;400:88395.8;500:52794.4;600:48754.8;700:46307.0;800:45063.6;900:44559.8;1000:44016.2;1100:43617.2;1200:43350.2;1300:43213.2;1400:43026.2;1500:42864.4
F19,1926.313,5.372,0:2157468239.2;100:2781.8;200:1941.8;300:1930.2;400:1928.6;500:1928.2;600:1927.6;700:1927.2;800:1927.2;900:1927.2;1000:1927.0;1100:1927.0;1200:1926.8;1300:1926.4;1400:1926.4;1500:1926.4
F20,2248.961,131.188,0:4478748438846881.0;100:53646.4;200:28535.0;300:15547.2;400:9664.6;500:7407.0;600:5640.2;700:4740.0;800:3655.6;900:3264.8;1000:2982.6;1100:2694.6;1200:2452.4;1300:2318.0;1400:2267.6;1500:2248.8
F21,9460.623,1765.05,0:1319857701.0;100:55787.0;200:29197.4;300:24779.2;400:21966.8;500:19074.4;600:16913.4;700:15621.8;800:14435.8;900:13069.4;1000:12275.8;1100:11385.4;1200:10541.2;1300:10236.2;1400:9920.8;1500:9460.6
F22,2358.646,172.791,0:15856371558404.0;100:2688.4;200:2397.0;300:2379.0;400:2368.0;500:2363.8;600:2362.2;700:2361.6;800:2361.2;900:2360.2;1000:2360.0;1100:2359.6;1200:2359.2;1300:2359.0;1400:2358.6;1500:2358.6
