Function,Mean,Std,Convergence
F1,787855.393,459968.307,0:6737175245.4;100:122354907.0;200:27147673.6;300:15652861.6;400:11029401.2;500:8220103.2;600:6633312.8;700:5017534.0;800:3792484.2;900:3075466.4;1000:2624210.4;1100:2282860.2;1200:2055699.4;1300:1908093.0;1400:1780517.6;1500:1622811.2;1600:1474041.4;1700:1384972.2;1800:1289317.2;1900:1187058.6;2000:1094114.6;2100:988797.4;2200:898309.4;2300:845443.8;2400:814387.6;2500:787855.4
F2,2099.271,3784.997,0:220808794998.8;100:1292909879.6;200:29753862.0;300:615102.8;400:11029.8;500:3522.2;600:3409.2;700:3406.6;800:3406.4;900:3405.8;1000:3403.8;1100:3388.8;1200:3368.4;1300:3306.6;1400:3186.0;1500:3080.0;1600:2992.0;1700:2884.4;1800:2819.8;1900:2711.0;2000:2544.2;2100:2329.2;2200:2166.2;2300:2122.4;2400:2105.4;2500:2099.2
F3,310.14,10.167,0:1156894.0;100:33890.0;200:13750.8;300:7820.8;400:5014.6;500:3787.4;600:3168.2;700:2624.4;800:2180.6;900:1927.2;1000:1711.8;1100:1445.2;1200:1262.6;1300:1118.4;1400:988.4;1500:892.6;1600:732.0;1700:464.6;1800:410.8;1900:380.2;2000:347.4;2100:327.4;2200:319.0;2300:314.0;2400:311.6;2500:310.0
F4,475.207,27.897,0:81609.8;100:664.4;200:544.8;300:521.4;400:509.4;500:506.0;600:505.0;700:504.4;800:503.2;900:497.2;1000:491.4;1100:490.8;1200:490.4;1300:490.2;1400:490.0;1500:490.0;1600:490.0;1700:489.6;1800:489.2;1900:485.4;2000:476.2;2100:475.8;2200:475.6;2300:475.4;2400:475.2;2500:475.0
F5,520.725,0.092,0:521.0;100:521.0;200:521.0;300:521.0;400:521.0;500:521.0;600:521.0;700:521.0;800:521.0;900:521.0;1000:521.0;1100:521.0;1200:521.0;1300:521.0;1400:521.0;1500:521.0;1600:521.0;1700:521.0;1800:521.0;1900:521.0;2000:521.0;2100:521.0;2200:521.0;2300:521.0;2400:521.0;2500:521.0
F6,611.451,3.809,0:680.6;100:638.2;200:616.6;300:612.4;400:611.8;500:611.8;600:611.6;700:611.6;800:611.6;900:611.6;1000:611.6;1100:611.6;1200:611.6;1300:611.6;1400:611.6;1500:611.6;1600:611.6;1700:611.6;1800:611.6;1900:611.6;2000:611.6;2100:611.6;2200:611.6;2300:611.6;2400:611.6;2500:611.6
F7,700.004,0.005,0:2862.4;100:709.2;200:701.0;300:700.0;400:700.0;500:700.0;600:700.0;700:700.0;800:700.0;900:700.0;1000:700.0;1100:700.0;1200:700.0;1300:700.0;1400:700.0;1500:700.0;1600:700.0;1700:700.0;1800:700.0;1900:700.0;2000:700.0;2100:700.0;2200:700.0;2300:700.0;2400:700.0;2500:700.0
F8,849.549,11.246,0:1660.4;100:1185.0;200:1164.2;300:1158.8;400:1142.2;500:1135.6;600:1122.4;700:1116.4;800:1084.2;900:1013.4;1000:991.2;1100:970.8;1200:944.4;1300:927.4;1400:912.0;1500:865.8;1600:849.8;1700:849.8;1800:849.8;1900:849.8;2000:849.8;2100:849.8;2200:849.8;2300:849.8;2400:849.8;2500:849.8
F9,968.453,12.948,0:1910.8;100:1330.8;200:1298.4;300:1286.8;400:1280.6;500:1264.4;600:1154.2;700:1064.6;800:1006.4;900:969.6;1000:968.8;1100:968.8;1200:968.8;1300:968.8;1400:968.8;1500:968.8;1600:968.8;1700:968.8;1800:968.8;1900:968.8;2000:968.8;2100:968.8;2200:968.8;2300:968.8;2400:968.8;2500:968.8
F10,3091.656,759.941,0:16838.6;100:14492.6;200:13701.2;300:13282.6;400:12828.6;500:12804.6;600:12545.0;700:12005.6;800:11361.8;900:10343.4;1000:8752.6;1100:7028.0;1200:4707.6;1300:3474.4;1400:3137.2;1500:3099.6;1600:3091.6;1700:3091.6;1800:3091.6;1900:3091.6;2000:3091.6;2100:3091.6;2200:3091.6;2300:3091.6;2400:3091.6;2500:3091.6
F11,6470.239,595.141,0:17483.4;100:15474.2;200:15097.4;300:15080.0;400:14969.8;500:14345.6;600:13379.8;700:11152.0;800:8537.0;900:8072.8;1000:8065.6;1100:8065.2;1200:8064.2;1300:7232.4;1400:6494.2;1500:6472.2;1600:6470.8;1700:6470.4;1800:6470.4;1900:6470.4;2000:6470.4;2100:6470.4;2200:6470.4;2300:6470.4;2400:6470.4;2500:6470.4
F13,1300.438,0.035,0:1311.0;100:1301.0;200:1301.0;300:1300.8;400:1300.8;500:1300.8;600:1300.8;700:1300.8;800:1300.8;900:1300.8;1000:1300.6;1100:1300.6;1200:1300.2;1300:1300.0;1400:1300.0;1500:1300.0;1600:1300.0;1700:1300.0;1800:1300.0;1900:1300.0;2000:1300.0;2100:1300.0;2200:1300.0;2300:1300.0;2400:1300.0;2500:1300.0
