Algorithm,Function,Mean,Std,Convergence
SaDE,F1,300,0,1:19587.432;100:301.686;200:300.0;300:300.0;400:300.0;500:300.0;600:300.0;700:300.0;800:300.0;900:300.0;1000:300.0;1100:300.0;1200:300.0;1300:300.0;1400:300.0;1500:300.0;1600:300.0;1700:300.0;1800:300.0;1900:300.0;2000:300.0
SaDE,F2,402.675,4.086,1:10266.835;100:415.465;200:402.763;300:402.691;400:402.675;500:402.675;600:402.675;700:402.675;800:402.675;900:402.675;1000:402.675;1100:402.675;1200:402.675;1300:402.675;1400:402.675;1500:402.675;1600:402.675;1700:402.675;1800:402.675;1900:402.675;2000:402.675
SaDE,F3,600,0,1:601.052;100:600.0;200:600.0;300:600.0;400:600.0;500:600.0;600:600.0;700:600.0;800:600.0;900:600.0;1000:600.0;1100:600.0;1200:600.0;1300:600.0;1400:600.0;1500:600.0;1600:600.0;1700:600.0;1800:600.0;1900:600.0;2000:600.0
SaDE,F4,856.8,5.879,1:1017.846;100:856.869;200:856.8;300:856.8;400:856.8;500:856.8;600:856.8;700:856.8;800:856.8;900:856.8;1000:856.8;1100:856.8;1200:856.8;1300:856.8;1400:856.8;1500:856.8;1600:856.8;1700:856.8;1800:856.8;1900:856.8;2000:856.8
SaDE,F5,900.99,0.481,1:907.969;100:901.002;200:900.99;300:900.99;400:900.99;500:900.99;600:900.99;700:900.99;800:900.99;900:900.99;1000:900.99;1100:900.99;1200:900.99;1300:900.99;1400:900.99;1500:900.99;1600:900.99;1700:900.99;1800:900.99;1900:900.99;2000:900.99
SaDE,F6,1800.228,0.127,1:9023379534.623;100:12450.854;200:2584.557;300:1843.201;400:1806.568;500:1803.455;600:1801.907;700:1800.928;800:1800.63;900:1800.446;1000:1800.37;1100:1800.314;1200:1800.294;1300:1800.28;1400:1800.276;1500:1800.262;1600:1800.252;1700:1800.243;1800:1800.239;1900:1800.233;2000:1800.228
SaDE,F7,2004.717,5.707,1:7491.379;100:2033.389;200:2026.219;300:2022.947;400:2021.953;500:2021.664;600:2021.399;700:2020.969;800:2019.603;900:2018.032;1000:2017.21;1100:2015.859;1200:2014.865;1300:2013.851;1400:2012.272;1500:2010.229;1600:2007.399;1700:2006.786;1800:2005.784;1900:2005.169;2000:2004.717
SaDE,F8,2205.211,7.415,1:1.154727548844375e+17;100:2228.241;200:2224.171;300:2220.133;400:2215.808;500:2213.358;600:2212.113;700:2210.914;800:2209.802;900:2208.847;1000:2207.85;1100:2207.149;1200:2206.771;1300:2206.461;1400:2206.265;1500:2205.954;1600:2205.859;1700:2205.702;1800:2205.471;1900:2205.311;2000:2205.211
SaDE,F9,2443.638,175.92,1:8332.067;100:2485.258;200:2445.924;300:2443.85;400:2443.638;500:2443.638;600:2443.638;700:2443.638;800:2443.638;900:2443.638;1000:2443.638;1100:2443.638;1200:2443.638;1300:2443.638;1400:2443.638;1500:2443.638;1600:2443.638;1700:2443.638;1800:2443.638;1900:2443.638;2000:2443.638
SaDE,F10,3004.988,540.331,1:5592.854;100:3020.367;200:3006.96;300:3005.128;400:3004.989;500:3004.988;600:3004.988;700:3004.988;800:3004.988;900:3004.988;1000:3004.988;1100:3004.988;1200:3004.988;1300:3004.988;1400:3004.988;1500:3004.988;1600:3004.988;1700:3004.988;1800:3004.988;1900:3004.988;2000:3004.988
SaDE,F11,2600,0,1:6091.248;100:2600.318;200:2600.0;300:2600.0;400:2600.0;500:2600.0;600:2600.0;700:2600.0;800:2600.0;900:2600.0;1000:2600.0;1100:2600.0;1200:2600.0;1300:2600.0;1400:2600.0;1500:2600.0;1600:2600.0;1700:2600.0;1800:2600.0;1900:2600.0;2000:2600.0
SaDE,F12,2866.113,1.094,1:5204.052;100:2871.708;200:2866.254;300:2866.116;400:2866.113;500:2866.113;600:2866.113;700:2866.113;800:2866.113;900:2866.113;1000:2866.113;1100:2866.113;1200:2866.113;1300:2866.113;1400:2866.113;1500:2866.113;1600:2866.113;1700:2866.113;1800:2866.113;1900:2866.113;2000:2866.113
SHADE,F1,300,0,1:18386.027;100:301.144;200:300.0;300:300.0;400:300.0;500:300.0;600:300.0;700:300.0;800:300.0;900:300.0;1000:300.0;1100:300.0;1200:300.0;1300:300.0;1400:300.0;1500:300.0;1600:300.0;1700:300.0;1800:300.0;1900:300.0;2000:300.0
SHADE,F2,409.753,20.73,1:10403.381;100:415.305;200:409.777;300:409.753;400:409.753;500:409.753;600:409.753;700:409.753;800:409.753;900:409.753;1000:409.753;1100:409.753;1200:409.753;1300:409.753;1400:409.753;1500:409.753;1600:409.753;1700:409.753;1800:409.753;1900:409.753;2000:409.753
SHADE,F3,600,0,1:601.061;100:600.0;200:600.0;300:600.0;400:600.0;500:600.0;600:600.0;700:600.0;800:600.0;900:600.0;1000:600.0;1100:600.0;1200:600.0;1300:600.0;1400:600.0;1500:600.0;1600:600.0;1700:600.0;1800:600.0;1900:600.0;2000:600.0
SHADE,F4,856,4.899,1:1018.087;100:856.0;200:856.0;300:856.0;400:856.0;500:856.0;600:856.0;700:856.0;800:856.0;900:856.0;1000:856.0;1100:856.0;1200:856.0;1300:856.0;1400:856.0;1500:856.0;1600:856.0;1700:856.0;1800:856.0;1900:856.0;2000:856.0
SHADE,F5,900.834,0.453,1:908.046;100:900.835;200:900.834;300:900.834;400:900.834;500:900.834;600:900.834;700:900.834;800:900.834;900:900.834;1000:900.834;1100:900.834;1200:900.834;1300:900.834;1400:900.834;1500:900.834;1600:900.834;1700:900.834;1800:900.834;1900:900.834;2000:900.834
