Algorithm,Function,Mean,Std,Convergence
DE,F1,1105.695,1404.476,1:132829292973.516;100:21072187473.37;200:4068835162.625;300:1127039299.001;400:339887865.804;500:106357786.906;600:35216618.34;700:12005533.618;800:3918436.322;900:1308012.679;1000:465864.854;1100:160127.384;1200:57088.703;1300:20676.217;1400:8370.445;1500:3541.922;1600:1991.454;1700:1407.264;1800:1207.001;1900:1141.343;2000:1118.266;2100:1110.11;2200:1107.299;2300:1106.287;2400:1105.846;2500:1105.695
DE,F2,209.551,4.672,1:8301937.631;100:93479.0;200:49841.224;300:31966.602;400:22180.092;500:17137.062;600:12934.809;700:10402.49;800:8299.616;900:6590.394;1000:5319.363;1100:4156.281;1200:3208.176;1300:2546.726;1400:1940.897;1500:1489.98;1600:1101.485;1700:839.91;1800:647.621;1900:503.056;2000:393.358;2100:320.895;2200:272.227;2300:238.836;2400:219.85;2500:209.551
DE,F3,455.714,6.742,1:58031.808;100:5161.833;200:1361.053;300:873.731;400:716.139;500:635.103;600:583.537;700:544.728;800:516.171;900:497.365;1000:484.937;1100:477.001;1200:470.901;1300:466.911;1400:463.807;1500:461.55;1600:460.028;1700:458.833;1800:458.012;1900:457.447;2000:456.979;2100:456.662;2200:456.37;2300:456.133;2400:455.902;2500:455.714
DE,F4,802.408,14.11,1:138776.069;100:22767.182;200:4659.72;300:1775.738;400:1132.619;500:975.177;600:924.487;700:899.833;800:882.244;900:869.399;1000:858.288;1100:848.201;1200:842.998;1300:838.459;1400:834.257;1500:829.69;1600:828.021;1700:823.713;1800:818.031;1900:812.139;2000:808.719;2100:807.328;2200:804.758;2300:804.66;2400:803.146;2500:802.408
DE,F5,500.003,0.001,1:500.112;100:500.012;200:500.009;300:500.008;400:500.007;500:500.006;600:500.006;700:500.005;800:500.005;900:500.005;1000:500.005;1100:500.004;1200:500.004;1300:500.004;1400:500.004;1500:500.004;1600:500.004;1700:500.004;1800:500.004;1900:500.003;2000:500.003;2100:500.003;2200:500.003;2300:500.003;2400:500.003;2500:500.003
DE,F6,1054.98,15.213,1:8568954.695;100:1100164.398;200:172832.253;300:40398.358;400:9744.112;500:3034.385;600:1611.831;700:1287.733;800:1192.162;900:1160.283;1000:1132.941;1100:1119.209;1200:1110.617;1300:1101.217;1400:1096.047;1500:1089.102;1600:1083.588;1700:1081.415;1800:1079.016;1900:1070.0;2000:1067.694;2100:1063.051;2200:1062.569;2300:1060.271;2400:1057.492;2500:1054.98
DE,F7,1557.898,40.656,1:2562.971;100:1830.332;200:1761.715;300:1721.057;400:1693.723;500:1680.633;600:1667.277;700:1655.332;800:1644.127;900:1632.377;1000:1625.619;1100:1617.513;1200:1609.522;1300:1605.167;1400:1602.204;1500:1598.019;1600:1593.681;1700:1589.758;1800:1585.494;1900:1580.274;2000:1574.545;2100:1567.637;2200:1565.033;2300:1563.122;2400:1562.309;2500:1557.898
DE,F8,818.709,2.279,1:956.795;100:837.322;200:830.68;300:828.459;400:827.176;500:826.096;600:825.219;700:824.634;800:824.047;900:823.569;1000:822.98;1100:822.519;1200:822.182;1300:821.752;1400:821.473;1500:821.104;1600:820.682;1700:820.432;1800:820.198;1900:819.917;2000:819.65;2100:819.468;2200:819.31;2300:819.082;2400:818.896;2500:818.709
DE,F9,7858.849,444.583,1:18767.579;100:12267.981;200:11388.52;300:10884.465;400:10438.416;500:10137.676;600:9800.867;700:9616.569;800:9387.42;900:9205.776;1000:8988.686;1100:8818.751;1200:8667.012;1300:8507.935;1400:8417.224;1500:8340.384;1600:8253.78;1700:8193.575;1800:8118.85;1900:8050.552;2000:7991.81;2100:7945.001;2200:7911.189;2300:7900.746;2400:7879.942;2500:7858.849
DE,F10,253234.689,69022.635,1:57680112505.08;100:223960722.787;200:10843376.945;300:3866762.413;400:2399652.631;500:1527383.518;600:1279082.746;700:1087547.537;800:919586.181;900:830873.941;1000:730579.666;1100:665462.496;1200:604496.102;1300:551066.487;1400:509136.814;1500:480540.234;1600:451110.794;1700:415042.24;1800:376304.509;1900:355977.518;2000:336774.792;2100:313776.022;2200:297356.506;2300:276076.492;2400:260264.453;2500:253234.689
DE,F11,48718125.4,11621593.98,1:33692848686.129;100:1354213457.697;200:419596257.137;300:292152713.762;400:233978990.464;500:193136336.709;600:171692698.426;700:159141102.888;800:138057446.346;900:131573661.96;1000:119409477.082;1100:111021844.594;1200:104455870.018;1300:100796772.427;1400:93436063.306;1500:88487346.175;1600:85337152.706;1700:81969374.48;1800:75905391.948;1900:71315233.297;2000:66401665.621;2100:60541388.983;2200:57808257.407;2300:53989499.722;2400:52228562.73;2500:48718125.399
DE,F12,59723.275,75209.619,1:142162153108.96;100:3596230524.52;200:222872233.92;300:38283197.423;400:11663229.335;500:4387782.897;600:2253826.37;700:1430950.077;800:888598.337;900:649924.64;1000:498156.15;1100:379368.073;1200:293869.508;1300:240724.458;1400:196594.56;1500:180032.372;1600:151273.495;1700:130440.951;1800:119015.814;1900:108309.16;2000:96673.168;2100:87369.302;2200:76750.532;2300:70538.39;2400:65237.702;2500:59723.275
DE,F13,166398.616,37094.551,1:47288436052.796;100:6986677.518;200:3052552.677;300:2149199.426;400:1798205.953;500:1535098.798;600:1249575.125;700:1062396.999;800:979417.584;900:851936.136;1000:736929.154;1100:620833.595;1200:544791.475;1300:504455.056;1400:452207.509;1500:414555.324;1600:371171.265;1700:330630.618;1800:304274.518;1900:275423.91;2000:256437.922;2100:235750.939;2200:214991.986;2300:199565.141;2400:182840.537;2500:166398.616
